Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Altamaha_PP48_000107-2_p08
104.884470992695,0,0,0,0,0,0,0,0,,None,105.891747459575,0,0,1093682.1
106.428610661466,0,0,0,0,0,0,0,0,,None,107.435887128346,0,0,1183276.5
106.550217400447,0,0,0,0,0,0,0,0,,None,107.557493867327,0,0,1157367.5
106.886683679258,0,0,0,0,0,0,0,0,,None,107.893960146138,0,0,1057232.1
107.124242170961,0,0,0,0,0,0,0,0,,None,108.131518637841,0,0,1129766.4
110.081466905024,0,0,0,0,0,0,0,0,,None,111.088743371904,0,0,1121746.9
110.594315829922,0,0,0,0,0,0,0,0,,None,111.601592296802,0,0,1052956.9
111.012432955926,0,0,0,0,0,0,0,0,,None,112.019709422806,0,0,1046922.7
111.512936912684,0,0,0,0,0,0,0,0,,None,112.520213379564,0,0,1065841.8
111.537473861623,0,0,0,0,0,0,0,0,,None,112.544750328503,0,0,1085252.8
111.720583480818,0,0,0,0,0,0,0,0,,None,112.727859947698,0,0,1142048.8
111.732351456359,0,0,0,0,0,0,0,0,,None,112.739627923239,0,0,1060236.3
111.787323342129,0,0,0,0,0,0,0,0,,None,112.794599809009,0,0,1099953.9
111.802114311401,0,0,0,0,0,0,0,0,,None,112.809390778281,0,0,1045449.3
111.818493277376,0,0,0,0,0,0,0,0,,None,112.825769744256,0,0,1259306.6
111.824026265883,0,0,0,0,0,0,0,0,,None,112.831302732763,0,0,1031152.3
111.829801253888,0,0,0,0,0,0,0,0,,None,112.837077720768,0,0,1081464.1
111.832698247871,0,0,0,0,0,0,0,0,,None,112.839974714751,0,0,1033984
111.836231240533,0,0,0,0,0,0,0,0,,None,112.843507707413,0,0,1221447.9
111.848466215122,0,0,0,0,0,0,0,0,,None,112.855742682002,0,0,1054847.3
111.863391184127,0,0,0,0,0,0,0,0,,None,112.870667651007,0,0,1130822.6
111.888478132034,0,0,0,0,0,0,0,0,,None,112.895754598914,0,0,1247769.6
111.895327117814,0,0,0,0,0,0,0,0,,None,112.902603584694,0,0,1198677.4
111.947511009486,0,0,0,0,0,0,0,0,,None,112.954787476366,0,0,1146451.1
111.953275997521,0,0,0,0,0,0,0,0,,None,112.960552464401,0,0,1060119
111.964392974449,0,0,0,0,0,0,0,0,,None,112.971669441329,0,0,1050970.5
111.969565963713,0,0,0,0,0,0,0,0,,None,112.976842430593,0,0,1069894.3
111.997863904992,0,0,0,0,0,0,0,0,,None,113.005140371872,0,0,1049473.1
112.153871581448,0,0,0,0,0,0,0,0,,None,113.161148048328,0,0,1069838.8
112.617373622039,0,0,0,0,0,0,0,0,,None,113.624650088919,0,0,1032689.1
113.078384670525,0,0,0,0,0,0,0,0,,None,114.085661137405,0,0,1064473.1
113.26822627949,0,0,0,0,0,0,0,0,,None,114.27550274637,0,0,1054207.1
113.791667203704,0,0,0,0,0,0,0,0,,None,114.798943670584,0,0,1138096.3
114.589684570355,0,0,0,0,0,0,0,0,,None,115.596961037235,0,0,1025294.6
114.601057547136,0,0,0,0,0,0,0,0,,None,115.608334014016,0,0,1031634.4
114.86882200095,0,0,0,0,0,0,0,0,,None,115.87609846783,0,0,1035110.1
114.889059959705,0,0,0,0,0,0,0,0,,None,115.896336426585,0,0,1166829.8
115.188748349564,0,0,0,0,0,0,0,0,,None,116.196024816444,0,0,1202969.9
115.655412401754,0,0,0,0,0,0,0,0,,None,116.662688868634,0,0,1036418
115.819571069002,0,0,0,0,0,0,0,0,,None,116.826847535882,0,0,1038245.3
116.468978756005,0,0,0,0,0,0,0,0,,None,117.476255222885,0,0,1103909.6
116.490805711967,0,0,0,0,0,0,0,0,,None,117.498082178847,0,0,1063909.8
116.731460226831,0,0,0,0,0,0,0,0,,None,117.738736693711,0,0,1137943.5
116.89322090115,0,0,0,0,0,0,0,0,,None,117.90049736803,0,0,1032273.1
116.983285719962,0,0,0,0,0,0,0,0,,None,117.990562186842,0,0,1074162.1
116.999252687851,0,0,0,0,0,0,0,0,,None,118.006529154731,0,0,1033682.3
117.075535534485,0,0,0,0,0,0,0,0,,None,118.082812001365,0,0,1172659.3
117.216903250462,0,0,0,0,0,0,0,0,,None,118.224179717342,0,0,1040485.3
117.986782708131,0,0,0,0,0,0,0,0,,None,118.994059175011,0,0,1098013.8
118.275174132316,0,0,0,0,0,0,0,0,,None,119.282450599196,0,0,1154574.3
119.169691352966,0,0,0,0,0,0,0,0,,None,120.176967819846,0,0,1081905.4
119.417327862158,0,0,0,0,0,0,0,0,,None,120.424604329038,0,0,1054061.6
119.826479052924,0,0,0,0,0,0,0,0,,None,120.833755519804,0,0,1115220.1
121.075809594972,0,0,0,0,0,0,0,0,,None,122.083086061852,0,0,1083380.4
121.1403634685,0,0,0,0,0,0,0,0,,None,122.14763993538,0,0,1028929.8
121.576973614475,0,0,0,0,0,0,0,0,,None,122.584250081355,0,0,1048112.6
