

Dataset: Altamaha_PP48_000107-2_p08.xml

Pre-alignment:

Start ppm error: 5.00000000

Error StdDev distribution along mass:

MassMedian,LowError,HighError,ErrorMean,ErrorStdDev,Count
182.08534100,-0.281930297461594,0.680041445931296,0.19668120,0.18612675,719
271.06839450,-0.356126303513215,0.629694079065197,0.13989733,0.18363841,724
295.07905600,-0.336117972614709,0.606672695963791,0.13560467,0.17469209,715
313.08967250,-0.335776785410517,0.602059597857044,0.12879512,0.17261334,711
329.09027100,-0.329942969882417,0.565565889220656,0.11521570,0.16655742,715
343.59794900,-0.356464143300923,0.570089997908696,0.10352708,0.17264204,692
356.60984350,-0.457021473580762,0.670500447628772,0.10882047,0.19081356,690
369.59674500,-0.457082671313245,0.596158224712015,0.06708361,0.18682696,703
382.57099100,-0.425993833634767,0.698496186922897,0.12945521,0.19041108,702
395.10708750,-0.448534786315649,0.673526876458847,0.11483074,0.19578951,708
407.63354950,-0.505527776912956,0.770426190564362,0.13081892,0.23493853,715
420.59739250,-0.482786879648337,0.753081975604197,0.13246123,0.22351533,714
433.13795550,-0.587086547190506,0.693130894511061,0.05948167,0.23910606,705
445.68863350,-0.59647721100373,0.837852815988414,0.12379477,0.26223357,694
458.64471800,-0.591726874631657,0.840553479205602,0.13026436,0.25959756,699
471.61618850,-0.732928464122334,0.933013361509767,0.09749520,0.29263289,698
485.11252450,-0.695475527665574,1.03641929962679,0.16408421,0.30577795,694
499.10597600,-0.90636257318913,1.07762511547057,0.08419077,0.34029322,701
514.15173200,-0.897394344577415,1.21174506790068,0.16794628,0.38706643,707
530.66467200,-0.96154826961016,1.15498894257348,0.10563145,0.38347234,703
551.15674450,-1.03754272723355,1.36448625788546,0.17227768,0.44770456,712
580.15328050,-1.28716044534985,1.50683373946558,0.11493057,0.50339194,722
666.16427900,-1.68897331452172,1.99509077525872,0.14736286,0.66635613,725
Calibration: calibrant peaks total 176 matched 175(174 distinct)
match_min_m=249.041029
match_max_m=643.0946077988
match_avg_err=1.24047897798929
match_med_err=1.20172759566404
match_std_err=0.524446672204201
linear_calibration=calibration iteration successful; original reference point count 175 removed points 62
linear_calibration=y = 2.18110563308798 + -0.00218312095282849 * x (relative error calibration - 1.0E-6)
linear_calibration_R^2=0.983018984187206
id	exp_ind	exp_val	the_val	err_ppm_exp	res_val	err_ppm_cal
C27H25O17	5480	621.1102579	621.1097200	0.866	621.1097454	0.041
C27H23O17	5473	619.0946078	619.0940700	0.869	619.0940942	0.039
C28H21O16	5445	613.0840431	613.0835100	0.870	613.0835265	0.027
C27H21O17	5468	617.0789577	617.0784200	0.871	617.0784431	0.037
C27H19O17	5456	615.0633077	615.0627700	0.874	615.0627920	0.036
C29H37O14	5429	609.2194144	609.2188800	0.877	609.2188959	0.026
C27H23O16	5399	603.0996932	603.0991600	0.884	603.0991718	0.020
C26H23O17	5414	607.0946078	607.0940700	0.886	607.0940883	0.030
C27H21O16	5388	601.0840431	601.0835100	0.887	601.0835209	0.018
C26H21O17	5404	605.0789577	605.0784200	0.889	605.0784373	0.029
C26H19O16	5310	587.0683930	587.0678600	0.908	587.0678650	0.009
C26H17O16	5291	585.0527430	585.0522100	0.911	585.0522142	0.007
C27H27O15	5334	591.1360787	591.1355400	0.911	591.1355522	0.021
C29H33O13	5327	589.1931996	589.1926600	0.916	589.1926724	0.021
C27H33O14	5265	581.1881143	581.1875800	0.919	581.1875840	0.007
C25H23O16	5245	579.0996932	579.0991600	0.921	579.0991622	0.004
C25H21O16	5233	577.0840431	577.0835100	0.924	577.0835115	0.003
C25H19O16	5217	575.0683930	575.0678600	0.927	575.0678607	0.001
C27H23O14	5175	571.1098639	571.1093300	0.935	571.1093303	0.001
C26H21O15	5197	573.0891285	573.0885900	0.940	573.0885955	0.010
C26H31O14	5130	567.1724642	567.1719300	0.942	567.1719294	-0.001
C26H29O14	5106	565.1568141	565.1562800	0.945	565.1562788	-0.002
C26H17O15	5146	569.0578284	569.0572900	0.946	569.0572941	0.007
C26H25O14	5072	561.1255140	561.1249800	0.952	561.1249775	-0.004
C27H31O13	5089	563.1775496	563.1770100	0.958	563.1770136	0.006
C26H21O14	5032	557.0942139	557.0936800	0.958	557.0936763	-0.007
C25H19O15	5051	559.0734784	559.0729400	0.963	559.0729414	0.002
C25H29O14	4995	553.1568141	553.1562800	0.966	553.1562756	-0.008
C24H27O15	5016	555.1360787	555.1355400	0.970	555.1355407	0.001
C28H31O11	4892	543.1877203	543.1871900	0.976	543.1871797	-0.019
C26H31O13	4974	551.1775496	551.1770100	0.979	551.1770106	0.001
C27H29O12	4915	545.1669849	545.1664500	0.981	545.1664447	-0.010
C26H29O13	4952	549.1618995	549.1613600	0.982	549.1613601	0.000
C26H27O13	4934	547.1462494	547.1457100	0.986	547.1457096	-0.001
C24H29O14	4863	541.1568141	541.1562800	0.987	541.1562731	-0.013
C24H27O14	4837	539.1411641	539.1406300	0.991	539.1406227	-0.014
C24H23O14	4784	535.1098639	535.1093300	0.998	535.1093219	-0.015
C27H29O11	4703	529.1720703	529.1715400	1.002	529.1715274	-0.024
C26H29O12	4764	533.1669849	533.1664500	1.003	533.1664426	-0.014
C25H29O13	4814	537.1618995	537.1613600	1.004	537.1613578	-0.004
C25H23O13	4730	531.1149493	531.1144100	1.015	531.1144067	-0.006
C26H31O11	4564	519.1877203	519.1871900	1.021	519.1871764	-0.026
C24H31O13	4667	527.1775496	527.1770100	1.024	527.1770065	-0.007
C25H29O12	4583	521.1669849	521.1664500	1.026	521.1664411	-0.017
C24H29O13	4635	525.1618995	525.1613600	1.027	525.1613562	-0.007
C26H27O11	4507	515.1564202	515.1558900	1.029	515.1558760	-0.027
C24H27O13	4608	523.1462494	523.1457100	1.031	523.1457059	-0.008
C23H17O14	4529	517.0629137	517.0623800	1.032	517.0623696	-0.020
C24H17O13	4471	513.0679991	513.0674600	1.051	513.0674547	-0.010
C24H27O12	4390	507.1513348	507.1508000	1.055	507.1507902	-0.019
C23H27O13	4447	511.1462494	511.1457100	1.055	511.1457050	-0.010
C22H17O14	4355	505.0629137	505.0623800	1.057	505.0623690	-0.022
C23H25O13	4419	509.1305994	509.1300600	1.059	509.1300548	-0.010
C24H23O12	4332	503.1200347	503.1195000	1.063	503.1194899	-0.020
C24H31O11	4196	495.1877203	495.1871900	1.071	495.1871756	-0.029
C24H29O11	4164	493.1720703	493.1715400	1.075	493.1715256	-0.029
C23H29O12	4227	497.1669849	497.1664500	1.076	497.1664401	-0.020
C23H17O13	4293	501.0679991	501.0674600	1.076	501.0674543	-0.011
C24H27O11	4135	491.1564202	491.1558900	1.079	491.1558756	-0.029
C22H27O13	4263	499.1462494	499.1457100	1.081	499.1457047	-0.011
C25H29O10	4104	489.1771556	489.1766200	1.095	489.1766111	-0.018
C23H19O12	4060	487.0887346	487.0882000	1.097	487.0881901	-0.020
C23H25O11	3920	477.1407701	477.1402400	1.111	477.1402265	-0.028
C21H25O13	4029	485.1305994	485.1300600	1.112	485.1300551	-0.010
C23H23O11	3889	475.1251201	475.1245900	1.116	475.1245766	-0.028
C22H23O12	3943	479.1200347	479.1195000	1.116	479.1194908	-0.019
C21H23O13	3998	483.1149493	483.1144100	1.116	483.1144051	-0.010
C21H21O13	3968	481.0992992	481.0987600	1.121	481.0987552	-0.010
C22H27O11	3745	467.1564202	467.1558900	1.135	467.1558777	-0.026
C21H13O13	3843	473.0366990	473.0361600	1.139	473.0361557	-0.009
C22H25O11	3713	465.1407701	465.1402400	1.140	465.1402279	-0.026
C21H25O12	3778	469.1356848	469.1351500	1.140	469.1351420	-0.017
C20H23O13	3814	471.1149493	471.1144100	1.145	471.1144063	-0.008
C23H27O10	3683	463.1615056	463.1609700	1.156	463.1609637	-0.014
C23H25O10	3645	461.1458555	461.1453200	1.161	461.1453140	-0.013
C21H27O11	3528	455.1564202	455.1558900	1.165	455.1558797	-0.023
C23H23O10	3603	459.1302054	459.1296700	1.166	459.1296642	-0.013
C20H25O12	3564	457.1356848	457.1351500	1.170	457.1351439	-0.013
C21H25O11	3491	453.1407701	453.1402400	1.170	453.1402301	-0.022
C22H27O10	3466	451.1615056	451.1609700	1.187	451.1609659	-0.009
C22H25O10	3437	449.1458555	449.1453200	1.192	449.1453163	-0.008
C20H15O12	3392	447.0574344	447.0569000	1.195	447.0568957	-0.010
