

Dataset: Altamaha_PP48_000107-4_p08.xml

Pre-alignment:

Start ppm error: 5.00000000

Error StdDev distribution along mass:

MassMedian,LowError,HighError,ErrorMean,ErrorStdDev,Count
191.99208500,-0.323866834913523,0.728963486737288,0.20002469,0.19305709,709
272.61838750,-0.422693005658319,0.802266058894868,0.18196431,0.23162353,718
296.04968400,-0.448604703961969,0.749059542173851,0.15229245,0.21628672,720
313.07632100,-0.394409546773343,0.68278749404385,0.13839503,0.20159981,705
328.10073700,-0.39702178763642,0.674815122498705,0.13679145,0.19694193,704
341.61878950,-0.358454936085604,0.593300703679357,0.11341346,0.17450787,689
354.58942700,-0.454002639000217,0.67319531772433,0.11221556,0.20157284,701
367.12444650,-0.459526033638684,0.651100253646375,0.09894536,0.18781736,696
379.63867800,-0.475710009042851,0.696664940015726,0.11293746,0.20715463,697
392.07520250,-0.535382608027348,0.777204170405003,0.12607317,0.23623050,701
403.59834950,-0.446349149643824,0.723459952935476,0.13728665,0.21970063,700
415.13606500,-0.520109691594116,0.901864958027656,0.18964702,0.25934352,716
427.12190000,-0.647605788433548,0.752719615672587,0.05159607,0.25283661,710
439.13083800,-0.649825595307288,0.898889862002935,0.13431788,0.26996876,699
451.59615500,-0.599217258964323,0.863096452864483,0.13508621,0.26250583,694
464.55533800,-0.742053603282752,0.985448319946972,0.12364963,0.30475613,710
477.60310600,-0.679707293639284,1.03103886220943,0.15563158,0.30562558,692
490.65795250,-0.819638030489235,1.13551048146334,0.15912979,0.35010026,695
504.17607700,-0.917728117034674,1.19567371699431,0.15423324,0.37481190,696
519.12689300,-0.871144558586517,1.2182434181125,0.16377576,0.38163042,694
535.59476100,-0.991389637456749,1.2821005279394,0.15624112,0.40186611,703
555.62492250,-1.0975389340395,1.39501814418822,0.14745863,0.45948465,715
585.11973200,-1.5004525082535,1.68515352690829,0.09987864,0.59983006,718
668.17020500,-2.02391844724148,2.37761822081107,0.16362114,0.79599304,721
Calibration: calibrant peaks total 176 matched 173(173 distinct)
match_min_m=249.0410759358
match_max_m=643.0946457346
match_avg_err=1.35211097013934
match_med_err=1.28030078506229
match_std_err=0.367943718498872
linear_calibration=calibration iteration successful; original reference point count 173 removed points 62
linear_calibration=y = 2.3131454095127 + -0.00229665641508965 * x (relative error calibration - 1.0E-6)
linear_calibration_R^2=0.984201087403209
id	exp_ind	exp_val	the_val	err_ppm_exp	res_val	err_ppm_cal
C27H23O18	5645	635.0895604	635.0889900	0.898	635.0890176	0.044
C27H25O17	5597	621.1102958	621.1097200	0.927	621.1097451	0.040
C27H23O17	5589	619.0946457	619.0940700	0.930	619.0940939	0.039
C28H21O16	5563	613.0840810	613.0835100	0.931	613.0835261	0.026
C27H19O17	5574	615.0633456	615.0627700	0.936	615.0627917	0.035
C29H37O14	5547	609.2194523	609.2188800	0.939	609.2188955	0.025
C27H23O16	5519	603.0997311	603.0991600	0.947	603.0991714	0.019
C26H23O17	5532	607.0946457	607.0940700	0.948	607.0940879	0.029
C27H21O16	5509	601.0840810	601.0835100	0.950	601.0835204	0.017
C27H19O16	5496	599.0684310	599.0678600	0.953	599.0678695	0.016
C26H19O16	5423	587.0684310	587.0678600	0.973	587.0678646	0.008
C27H27O15	5450	591.1361166	591.1355400	0.975	591.1355518	0.020
C26H17O16	5406	585.0527809	585.0522100	0.976	585.0522137	0.006
C29H33O13	5440	589.1932376	589.1926600	0.980	589.1926720	0.020
C27H33O14	5380	581.1881522	581.1875800	0.985	581.1875836	0.006
C25H23O16	5360	579.0997311	579.0991600	0.986	579.0991618	0.003
C25H21O16	5341	577.0840810	577.0835100	0.990	577.0835110	0.002
C25H19O16	5326	575.0684310	575.0678600	0.993	575.0678603	0.000
C27H23O14	5283	571.1099019	571.1093300	1.001	571.1093299	0.000
C26H21O15	5304	573.0891664	573.0885900	1.006	573.0885951	0.009
C26H31O14	5237	567.1725021	567.1719300	1.009	567.1719290	-0.002
C26H29O14	5212	565.1568521	565.1562800	1.012	565.1562783	-0.003
C26H17O15	5253	569.0578663	569.0572900	1.013	569.0572937	0.007
C26H25O14	5170	561.1255519	561.1249800	1.019	561.1249771	-0.005
C27H31O13	5190	563.1775875	563.1770100	1.025	563.1770132	0.006
C26H21O14	5126	557.0942518	557.0936800	1.026	557.0936759	-0.007
C25H19O15	5145	559.0735164	559.0729400	1.031	559.0729410	0.002
C25H29O14	5088	553.1568521	553.1562800	1.034	553.1562753	-0.009
C24H27O15	5110	555.1361166	555.1355400	1.039	555.1355403	0.001
C28H31O11	4983	543.1877583	543.1871900	1.046	543.1871794	-0.019
C26H31O13	5067	551.1775875	551.1770100	1.048	551.1770103	0.000
C27H29O12	5008	545.1670228	545.1664500	1.051	545.1664443	-0.010
C26H29O13	5045	549.1619374	549.1613600	1.051	549.1613598	0.000
C26H27O13	5027	547.1462874	547.1457100	1.055	547.1457093	-0.001
C24H29O14	4955	541.1568521	541.1562800	1.057	541.1562729	-0.013
