

Dataset: Altamaha_SW48_000107-2_p08.xml

Pre-alignment:

Start ppm error: 5.00000000

Error StdDev distribution along mass:

MassMedian,LowError,HighError,ErrorMean,ErrorStdDev,Count
187.55841350,-0.440287960047395,0.857231441066911,0.20993855,0.22815174,738
278.59619200,-0.475983286320092,0.842766244253835,0.18491379,0.25265483,738
302.54345300,-0.495983659688587,0.817084884025755,0.15513849,0.23480276,730
321.05855700,-0.426822933787936,0.697968857688941,0.13538500,0.21136031,719
337.07170100,-0.456180811689836,0.747425910833116,0.14631974,0.21888115,722
352.05609500,-0.458486695789421,0.733346607381154,0.12974025,0.22169853,711
366.08624150,-0.458342192135572,0.70925181465765,0.12755996,0.20597639,714
380.09595150,-0.499898461188548,0.786507328832321,0.13885962,0.23209366,731
393.63261850,-0.52491897306056,0.813114801355096,0.14747563,0.24612978,727
406.69102850,-0.584133016864476,0.935052709415569,0.16748214,0.28620034,720
420.17355150,-0.524849848835749,0.843889097412309,0.15824994,0.24849557,727
434.10239300,-0.743913945994834,0.882665187670808,0.07086905,0.28861648,725
448.08454500,-0.66260277660279,1.0025367233698,0.17046429,0.30268958,710
462.12615100,-0.788271269184337,1.05882300196326,0.12649889,0.32926286,717
477.09501500,-0.795374976844449,1.15747748093632,0.17998632,0.35165299,715
492.05235700,-0.893172705237272,1.22741564209819,0.17313320,0.40546115,718
506.60623250,-0.918207055093395,1.31151379264477,0.19553771,0.40472830,720
522.64926450,-1.01696471451086,1.33934757625111,0.15914420,0.46099579,734
543.15960400,-1.25485685485664,1.52929486741603,0.13775227,0.53314696,728
572.11954600,-1.32290435518826,1.68470833886394,0.16950414,0.57060820,740
655.16166450,-2.21551818754261,2.45127622070682,0.12487931,0.88421986,734
Calibration: calibrant peaks total 176 matched 170(170 distinct)
match_min_m=249.041176081728
match_max_m=643.094750542
match_avg_err=1.6229018795267
match_med_err=1.53711901867239
match_std_err=0.395984477293738
linear_calibration=calibration iteration successful; original reference point count 170 removed points 64
linear_calibration=y = 2.72701116325619 + -0.00270002629611737 * x (relative error calibration - 1.0E-6)
linear_calibration_R^2=0.985794189571891
id	exp_ind	exp_val	the_val	err_ppm_exp	res_val	err_ppm_cal
C27H25O17	5197	621.1104006	621.1097200	1.096	621.1097484	0.046
C27H23O17	5190	619.0947505	619.0940700	1.099	619.0940971	0.044
C28H21O16	5163	613.0841859	613.0835100	1.102	613.0835288	0.031
C27H21O17	5183	617.0791005	617.0784200	1.103	617.0784458	0.042
C29H37O14	5148	609.2195571	609.2188800	1.111	609.2188979	0.029
C27H23O16	5124	603.0998359	603.0991600	1.121	603.0991733	0.022
C26H23O17	5136	607.0947505	607.0940700	1.121	607.0940901	0.033
C27H21O16	5116	601.0841859	601.0835100	1.124	601.0835222	0.020
C26H21O17	5129	605.0791005	605.0784200	1.125	605.0784390	0.031
C25H21O17	5076	593.0791005	593.0784200	1.147	593.0784329	0.022
C26H19O16	5050	587.0685358	587.0678600	1.151	587.0678654	0.009
C27H27O15	5070	591.1362214	591.1355400	1.153	591.1355529	0.022
C29H33O13	5064	589.1933424	589.1926600	1.158	589.1926729	0.022
C27H33O14	5012	581.1882570	581.1875800	1.165	581.1875841	0.007
C25H23O16	4992	579.0998359	579.0991600	1.167	579.0991622	0.004
C25H21O16	4975	577.0841859	577.0835100	1.171	577.0835113	0.002
C25H19O16	4957	575.0685358	575.0678600	1.175	575.0678605	0.001
C27H23O14	4918	571.1100067	571.1093300	1.185	571.1093299	0.000
C26H21O15	4940	573.0892712	573.0885900	1.189	573.0885952	0.009
C26H31O14	4874	567.1726069	567.1719300	1.194	567.1719288	-0.002
C26H17O15	4891	569.0579711	569.0572900	1.197	569.0572936	0.006
C26H29O14	4850	565.1569569	565.1562800	1.198	565.1562781	-0.003
C26H25O14	4820	561.1256567	561.1249800	1.206	561.1249767	-0.006
C27H31O13	4833	563.1776923	563.1770100	1.212	563.1770129	0.005
C25H19O15	4802	559.0736212	559.0729400	1.218	559.0729405	0.001
C25H29O14	4748	553.1569569	553.1562800	1.224	553.1562746	-0.010
C24H27O15	4767	555.1362214	555.1355400	1.227	555.1355396	-0.001
C26H31O13	4729	551.1776923	551.1770100	1.238	551.1770095	-0.001
C28H31O11	4653	543.1878631	543.1871900	1.239	543.1871784	-0.021
C26H29O13	4711	549.1620422	549.1613600	1.242	549.1613589	-0.002
