Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Altamaha_SW48_000107-3_p08
106.150852526777,0,0,0,0,0,0,0,0,,None,107.158128993657,0,0,1065076
107.917159633125,0,0,0,0,0,0,0,0,,None,108.924436100005,0,0,1138923.8
108.175165213257,0,0,0,0,0,0,0,0,,None,109.182441680137,0,0,1084795.5
109.384942254037,0,0,0,0,0,0,0,0,,None,110.392218720917,0,0,1041210.3
110.018358234474,0,0,0,0,0,0,0,0,,None,111.025634701354,0,0,1356893.8
110.022265228199,0,0,0,0,0,0,0,0,,None,111.029541695079,0,0,1105717.6
110.082231131901,0,0,0,0,0,0,0,0,,None,111.089507598781,0,0,1139674.6
110.200943941375,0,0,0,0,0,0,0,0,,None,111.208220408255,0,0,1051790.6
110.412600602054,0,0,0,0,0,0,0,0,,None,111.419877068934,0,0,1052134.4
110.938482761043,0,0,0,0,0,0,0,0,,None,111.945759227923,0,0,1132781.5
111.21203632473,0,0,0,0,0,0,0,0,,None,112.21931279161,0,0,1081381.1
111.293106195578,0,0,0,0,0,0,0,0,,None,112.300382662458,0,0,1026849.6
111.629874659821,0,0,0,0,0,0,0,0,,None,112.637151126701,0,0,1042867.1
111.647802631334,0,0,0,0,0,0,0,0,,None,112.655079098214,0,0,1047458.3
111.665854602653,0,0,0,0,0,0,0,0,,None,112.673131069533,0,0,1067037.6
111.675540587265,0,0,0,0,0,0,0,0,,None,112.682817054145,0,0,1076189.1
111.678564582461,0,0,0,0,0,0,0,0,,None,112.685841049341,0,0,1297953
111.68312257522,0,0,0,0,0,0,0,0,,None,112.6903990421,0,0,1065112.9
111.713475527009,0,0,0,0,0,0,0,0,,None,112.720751993889,0,0,1259767.6
111.722604512511,0,0,0,0,0,0,0,0,,None,112.729880979391,0,0,1130139.3
111.723767510664,0,0,0,0,0,0,0,0,,None,112.731043977544,0,0,1193051.1
111.767222441663,0,0,0,0,0,0,0,0,,None,112.774498908543,0,0,1035825.4
111.77545742859,0,0,0,0,0,0,0,0,,None,112.78273389547,0,0,1149137
111.782760416996,0,0,0,0,0,0,0,0,,None,112.790036883876,0,0,1386040.8
111.784236414653,0,0,0,0,0,0,0,0,,None,112.791512881533,0,0,1031164.7
111.824230351173,0,0,0,0,0,0,0,0,,None,112.831506818053,0,0,1029903.1
111.826596347418,0,0,0,0,0,0,0,0,,None,112.833872814298,0,0,1216891
111.852767305889,0,0,0,0,0,0,0,0,,None,112.860043772769,0,0,1377693.9
111.870052278464,0,0,0,0,0,0,0,0,,None,112.877328745344,0,0,1151721.3
111.88031026219,0,0,0,0,0,0,0,0,,None,112.88758672907,0,0,1120628.8
111.886282252716,0,0,0,0,0,0,0,0,,None,112.893558719596,0,0,1127688.5
112.662703024223,0,0,0,0,0,0,0,0,,None,113.669979491103,0,0,1117049.4
113.186636198836,0,0,0,0,0,0,0,0,,None,114.193912665716,0,0,1030362.3
113.32854297578,0,0,0,0,0,0,0,0,,None,114.33581944266,0,0,1026078.1
113.344296951031,0,0,0,0,0,0,0,0,,None,114.351573417911,0,0,1036413.6
114.203730604815,0,0,0,0,0,0,0,0,,None,115.211007071695,0,0,1114255.9
