

Dataset: Altamaha_SW48_000107-3_p08.xml

Pre-alignment:

Start ppm error: 5.00000000

Error StdDev distribution along mass:

MassMedian,LowError,HighError,ErrorMean,ErrorStdDev,Count
215.04591400,-0.291655465210227,0.593017101002558,0.15540030,0.15225725,738
275.03846700,-0.337821585723171,0.582379043550898,0.12660505,0.17324982,725
299.03091450,-0.358917185762699,0.589198335566217,0.11324816,0.17850327,727
317.56138350,-0.317280180656036,0.503941701790751,0.09241837,0.15068466,731
334.10448750,-0.352921754085829,0.507932864430577,0.07490821,0.15988176,734
349.11387450,-0.338560370227721,0.519269676641011,0.09409792,0.15840345,722
362.65012900,-0.368065387715192,0.516003715708747,0.07018680,0.15679677,714
376.13262850,-0.38110268426377,0.549876341217933,0.07926637,0.16738909,726
390.06766150,-0.391100843065923,0.610425386122638,0.10810845,0.18364268,736
403.10606950,-0.356053674983915,0.546118515605253,0.08685951,0.17405095,708
416.66085450,-0.414821282479562,0.649519590646891,0.12041764,0.18676390,727
431.13781650,-0.520124207341792,0.647115676403642,0.06181776,0.21457065,726
445.16765750,-0.516422533895579,0.711196486413298,0.09052981,0.23130960,727
459.63253900,-0.548899242430125,0.721904247846914,0.08825533,0.22709480,725
475.04241550,-0.633217374650444,0.841218881543904,0.09840555,0.26368570,726
490.57819500,-0.685742652650605,0.874900600055804,0.09881635,0.28367271,711
506.68238300,-0.737357897399183,0.956435513823515,0.09826017,0.30336060,723
526.69402550,-0.846318825006313,1.07613331405201,0.11942225,0.34763160,724
553.63099000,-0.866152634425283,1.11846747329543,0.12723572,0.35436083,730
623.12726450,-1.3407344008334,1.51700273601489,0.08957941,0.51123398,743
Calibration: calibrant peaks total 176 matched 164(164 distinct)
match_min_m=249.0408626863
match_max_m=619.0944739788
match_avg_err=0.962758977521958
match_med_err=0.916510002186365
match_std_err=0.242866933284857
linear_calibration=calibration iteration successful; original reference point count 164 removed points 41
linear_calibration=y = 1.71024475829137 + -0.00178295597185783 * x (relative error calibration - 1.0E-6)
linear_calibration_R^2=0.97770360532802
id	exp_ind	exp_val	the_val	err_ppm_exp	res_val	err_ppm_cal
C27H23O17	5273	619.0944740	619.0940700	0.653	619.0940985	0.046
C29H37O14	5240	609.2192806	609.2188800	0.658	609.2189004	0.033
C27H23O16	5219	603.0995594	603.0991600	0.662	603.0991764	0.027
C27H21O16	5212	601.0839093	601.0835100	0.664	601.0835255	0.026
C26H23O17	5229	607.0944740	607.0940700	0.665	607.0940928	0.038
C26H21O17	5224	605.0788239	605.0784200	0.668	605.0784419	0.036
C25H21O17	5184	593.0788239	593.0784200	0.681	593.0784367	0.028
C27H27O15	5180	591.1359449	591.1355400	0.685	591.1355569	0.029
C29H33O13	5174	589.1930658	589.1926600	0.689	589.1926771	0.029
C27H33O14	5125	581.1879804	581.1875800	0.689	581.1875887	0.015
C25H23O16	5107	579.0995594	579.0991600	0.690	579.0991669	0.012
C25H21O16	5099	577.0839093	577.0835100	0.692	577.0835161	0.011
C25H19O16	5088	575.0682592	575.0678600	0.694	575.0678654	0.009
C26H31O14	5018	567.1723304	567.1719300	0.706	567.1719339	0.007
C26H21O15	5070	573.0889947	573.0885900	0.706	573.0886001	0.018
C26H29O14	4998	565.1566803	565.1562800	0.708	565.1562832	0.006
C26H17O15	5030	569.0576945	569.0572900	0.711	569.0572987	0.015
C26H25O14	4968	561.1253802	561.1249800	0.713	561.1249819	0.003
C26H21O14	4931	557.0940800	557.0936800	0.718	557.0936806	0.001
C27H31O13	4982	563.1774157	563.1770100	0.720	563.1770181	0.014
C25H29O14	4900	553.1566803	553.1562800	0.724	553.1562798	0.000
C25H19O15	4952	559.0733446	559.0729400	0.724	559.0729457	0.010
C24H27O15	4918	555.1359449	555.1355400	0.729	555.1355449	0.009
C28H31O11	4820	543.1875865	543.1871900	0.730	543.1871836	-0.012
C27H29O12	4836	545.1668511	545.1664500	0.736	545.1664486	-0.003
C26H31O13	4884	551.1774157	551.1770100	0.736	551.1770148	0.009
C26H29O13	4866	549.1617657	549.1613600	0.739	549.1613642	0.008
C24H29O14	4795	541.1566803	541.1562800	0.740	541.1562769	-0.006
C26H27O13	4850	547.1461156	547.1457100	0.741	547.1457136	0.007
