

Dataset: Altamaha_SW48_000107-4_p08.xml

Pre-alignment:

Start ppm error: 5.00000000

Error StdDev distribution along mass:

MassMedian,LowError,HighError,ErrorMean,ErrorStdDev,Count
183.44186750,-0.352878722964185,0.710303629313255,0.18460091,0.18583720,717
271.06351700,-0.381302793319858,0.722411803246385,0.16776823,0.19414636,724
294.57455150,-0.438800953329408,0.703072747388154,0.13211599,0.21865491,721
312.55768600,-0.348608687242772,0.623918111481453,0.14071082,0.18532568,720
328.08291800,-0.3594719663169,0.568078100096624,0.10238641,0.16529410,699
342.08315650,-0.394543939729327,0.625590189492249,0.11337273,0.17615308,709
355.55912800,-0.405474589275669,0.607720738545589,0.10367587,0.18265801,698
368.55940750,-0.426806205445864,0.587234588249442,0.06940622,0.18347024,701
381.10195100,-0.449766689484487,0.679288102766725,0.11999824,0.19877543,719
393.63594950,-0.418459628380941,0.656174645650565,0.11521936,0.19531881,721
406.60907350,-0.47083662263011,0.738261175318317,0.12167955,0.21091026,713
419.17569550,-0.495680094667477,0.758322716770381,0.12938792,0.22345341,711
431.68231250,-0.648448879808048,0.767993442675369,0.05249006,0.25298940,720
444.57499150,-0.549014008940766,0.801773765337199,0.12903163,0.25074745,707
457.10341350,-0.629526399003066,0.870708208381932,0.12787574,0.26534493,705
469.68226550,-0.596438837214756,0.864699553861995,0.13228449,0.26473496,695
483.13737050,-0.686360614293361,0.941790136841413,0.13748862,0.29665203,693
497.11259200,-0.719493793697766,0.990745227997119,0.14027111,0.30739191,694
512.14673200,-0.795368789306164,1.08448396024826,0.14583862,0.33187071,694
528.67367450,-0.79721009347906,0.997522919836946,0.09440696,0.34496247,693
548.13971150,-1.08613391618362,1.28447740615213,0.10822818,0.44980234,708
573.15810850,-1.19211005210138,1.45343626653861,0.12544921,0.48502959,722
640.21760200,-1.6548103043041,1.84689025644385,0.10079974,0.67584827,729
Calibration: calibrant peaks total 176 matched 175(175 distinct)
match_min_m=249.0409664421
match_max_m=643.0945777346
match_avg_err=1.20334216913758
match_med_err=1.13863357086659
match_std_err=0.301296367194244
linear_calibration=calibration iteration successful; original reference point count 175 removed points 59
linear_calibration=y = 2.04639293140058 + -0.00203524345986221 * x (relative error calibration - 1.0E-6)
linear_calibration_R^2=0.982852983366035
id	exp_ind	exp_val	the_val	err_ppm_exp	res_val	err_ppm_cal
C27H23O18	5640	635.0894924	635.0889900	0.791	635.0890136	0.037
C27H21O18	5634	633.0738423	633.0733400	0.793	633.0733625	0.035
C27H25O17	5600	621.1102278	621.1097200	0.818	621.1097419	0.035
C27H23O17	5592	619.0945777	619.0940700	0.820	619.0940909	0.034
C28H21O16	5563	613.0840130	613.0835100	0.821	613.0835234	0.022
C27H21O17	5584	617.0789277	617.0784200	0.823	617.0784399	0.032
C27H19O17	5573	615.0632776	615.0627700	0.825	615.0627889	0.031
C29H37O14	5551	609.2193843	609.2188800	0.828	609.2188930	0.021
C27H23O16	5525	603.0996631	603.0991600	0.834	603.0991692	0.015
C26H23O17	5539	607.0945777	607.0940700	0.836	607.0940855	0.026
C26H21O17	5534	605.0789277	605.0784200	0.839	605.0784346	0.024
C25H21O17	5474	593.0789277	593.0784200	0.856	593.0784299	0.017
C26H19O16	5436	587.0683630	587.0678600	0.857	587.0678631	0.005
C26H17O16	5418	585.0527129	585.0522100	0.860	585.0522123	0.004
C27H27O15	5463	591.1360486	591.1355400	0.860	591.1355501	0.017
C29H33O13	5455	589.1931696	589.1926600	0.865	589.1926704	0.018
C27H33O14	5389	581.1880842	581.1875800	0.868	581.1875823	0.004
C25H23O16	5364	579.0996631	579.0991600	0.869	579.0991606	0.001
C25H21O16	5347	577.0840130	577.0835100	0.872	577.0835099	0.000
C25H19O16	5331	575.0683630	575.0678600	0.875	575.0678592	-0.001
C27H23O14	5290	571.1098339	571.1093300	0.882	571.1093290	-0.002
C26H21O15	5312	573.0890984	573.0885900	0.887	573.0885941	0.007
C26H31O14	5249	567.1724341	567.1719300	0.889	567.1719282	-0.003
C26H29O14	5224	565.1567841	565.1562800	0.892	565.1562776	-0.004
C26H17O15	5263	569.0577983	569.0572900	0.893	569.0572928	0.005
C26H25O14	5184	561.1254839	561.1249800	0.898	561.1249765	-0.006
C26H21O14	5143	557.0941838	557.0936800	0.904	557.0936754	-0.008
C27H31O13	5206	563.1775195	563.1770100	0.905	563.1770125	0.005
C25H19O15	5160	559.0734484	559.0729400	0.909	559.0729404	0.001
C25H29O14	5106	553.1567841	553.1562800	0.911	553.1562748	-0.009
C24H27O15	5125	555.1360486	555.1355400	0.916	555.1355398	0.000
C28H31O11	5004	543.1876903	543.1871900	0.921	543.1871792	-0.020
