molecular formula,Altamaha_PP48_000107-4_p08
C8H10O6,2444873.5
C9H14O5,2871372.3
C10H18O4,2212175.3
C11H8O4,1329246.6
C8H12O4S,1333470.9
C8H12O6,1988064.1
C9H16O5,1449954.6
C10H6O5,1520091.5
C11H10O4,3730525.8
C12H14O3,1717343.8
C10H8O5,3444678.8
C11H12O4,3873480.8
C12H16O3,1991370.4
C10H11O4N,1347575.4
C9H6O6,4962081.0
C10H10O5,3947298.5
C11H14O4,3219748.0
C9H8O6,2783600.8
C10H12O5,6305138.0
C11H16O4,2890099.5
C9H11O5N,1418518.6
C9H10O6,4676025.5
C10H14O5,7537082.5
C11H18O4,2206907.8
C8H8O5S,3906044.5
C9H12O6,7458302.5
C13H12O3,1224062.8
C10H16O5,5092863.5
C11H20O4,2303488.8
C11H6O5,1141569.9
C12H10O4,2270531.3
C9H14O6,3345988.0
C13H14O3,1817924.5
C10H18O5,3102277.3
C11H8O5,1695372.3
C12H12O4,3546253.8
C13H16O3,1937295.1
C11H10O5,4907231.5
C12H14O4,14033633.0
C13H18O3,1378786.8
C14H22O2,2046436.4
C10H9O5N,1449741.3
C(13)11H14O4,1916431.4
C10H8O6,5273406.0
C11H12O5,8095552.0
C12H16O4,5491010.0
C13H20O3,1391427.6
C10H11O5N,1824629.5
C9H6O7,1135021.0
C10H10O4S,1138222.1
C10H10O6,6798255.0
C11H14O5,10721201.0
C12H18O4,3165107.8
C10H13O5N,1681649.1
C9H8O7,1889843.0
C10H12O4S,1267188.4
C10H12O6,11932726.0
C11H16O5,7991352.5
C12H20O4,2335035.0
C(13)9H12O6,1357185.9
C9H10O5S,1735889.0
C9H10O7,3344082.5
C10H14O6,9596118.0
C11H18O5,2594008.8
C12H22O4,1661147.9
C(13)9H14O6,1384752.0
C12H8O5,2176653.3
C9H12O5S,2083981.6
C9H12O7,3139983.5
C13H12O4,2198417.0
C10H16O6,3767699.3
C11H20O5,2384791.0
C11H6O6,1206247.1
C12H10O5,5054571.5
C9H14O5S,1328875.9
C13H14O4,4672112.0
C14H18O3,1624948.1
C15H22O2,4136568.5
C(13)11H10O5,1262567.0
C11H8O6,3951463.3
C8H12O6S,1235943.8
C12H12O5,8945516.0
C13H16O4,6142833.0
C14H20O3,1372918.1
C11H11O5N,2033911.4
C(13)11H12O5,1684216.6
C11H10O6,9479305.0
