Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Intensity,sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,Ymet,molecular formula,outline,specifics,MSCC
200.010156194509,7,8,4,0,1,1,0,0,CHOS,Lignin,201.017432661389,1.25169050096997,1,1131611.0,Altamaha_PP48_000107-3_p08,4.0,0.0,0.0,0.25,0.57143,1.14286,0.0,0.0,0.0,0.0,0.28571,52.15714,0.57143,189.0,0.02665,0.22834,1.28428,0.24474,0.07362,0.16673,0.30371824806841474,C(13)7H8O4S,PUCs,Lignin-like,POCs
201.076651704257,9,14,5,0,0,0,0,0,CHO,AminoSugar,202.083928171137,0.966869381532387,1,2035300.4,Altamaha_PP48_000107-3_p08,3.0,-2.0,0.0,0.07692,0.55556,1.55556,0.0,0.0,0.0,0.0,-0.44444,72.96667,0.55556,202.0,0.03517,0.23734,1.37926,0.25488,0.07199,0.1715,0.2071404581296331,C9H14O5,UAAs,Aliphatic-like,Lipid
203.034809005107,11,8,4,0,0,0,0,0,CHO,ConHC,204.042085471987,0.849203302318725,1,1639768.0,Altamaha_PP48_000107-3_p08,8.0,4.0,0.57143,0.66667,0.36364,0.72727,0.0,0.0,0.0,0.0,0.0,60.3,0.36364,204.0,0.06397,0.2112,1.42118,0.22891,0.04424,0.14471,0.18456145058063844,C11H8O4,PPAs,Polyphenol-like,POCs
203.038166000521,8,12,4,0,0,1,0,0,CHOS,Protein,204.045442467401,0.916933977446568,2,1159384.1,Altamaha_PP48_000107-3_p08,3.0,-1.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,-0.25,67.425,0.5,204.0,0.00264,0.27261,1.36026,0.29033,0.1056,0.20611,0.2392560729592833,C8H12O4S,UAAs,Aliphatic-like,Lipid
203.071233955351,12,12,3,0,0,0,0,0,CHO,Lignin,204.078510422231,0.65577344991498,1,1949145.9,Altamaha_PP48_000107-3_p08,7.0,4.0,0.44444,0.52381,0.25,1.0,0.0,0.0,0.0,0.0,-0.5,74.55,0.25,204.0,0.02222,0.25301,1.3797,0.27072,0.08601,0.18651,0.1537843807180399,C12H12O3,PPAs,Polyphenol-like,POCs
205.05044927648,11,10,4,0,0,0,0,0,CHO,Lignin,206.05772574336,0.888421142001025,1,3721785.3,Altamaha_PP48_000107-3_p08,7.0,3.0,0.42857,0.55556,0.36364,0.90909,0.0,0.0,0.0,0.0,-0.18182,65.48182,0.36364,206.0,0.05062,0.22727,1.42123,0.24515,0.05866,0.16012,0.1782968531766994,C11H10O4,PPAs,Polyphenol-like,POCs
205.05381927196,8,14,4,0,0,1,0,0,CHOS,Protein,206.06109573884,0.892400185798159,2,1317689.4,Altamaha_PP48_000107-3_p08,2.0,-2.0,0.0,0.0,0.5,1.75,0.0,0.0,0.0,0.0,-0.5,74.55,0.5,206.0,0.01071,0.28868,1.36031,0.30657,0.12002,0.22152,0.2284729036280002,C8H14O4S,UAAs,Aliphatic-like,Lipid
205.086840227678,12,14,3,0,0,0,0,0,CHO,Lignin,206.094116694558,0.861844797028295,1,2129466.8,Altamaha_PP48_000107-3_p08,6.0,3.0,0.33333,0.42857,0.25,1.16667,0.0,0.0,0.0,0.0,-0.66667,79.3,0.25,206.0,0.00887,0.26908,1.37975,0.28696,0.10043,0.20192,0.14925650750796782,C12H14O3,PUCs,Lignin-like,POCs
206.045693947676,10,9,4,1,0,0,0,0,CHON,Lignin,207.052970414556,0.904927580984098,1,1677410.5,Altamaha_PP48_000107-3_p08,7.0,3.0,0.4,0.57143,0.4,0.9,0.1,0.0,inf,0.0,0.2,54.6,0.5,207.0,0.06273,0.2165,1.43991,0.23446,0.04707,0.14903,0.21337410351745462,C10H9O4N,PPAs,Polyphenol-like,Not Matched
207.029709645813,10,8,5,0,0,0,0,0,CHO,Lignin,208.036986112693,0.900102479498348,1,2497671.8,Altamaha_PP48_000107-3_p08,7.0,2.0,0.4,0.6,0.5,0.8,0.0,0.0,0.0,0.0,0.2,54.6,0.5,208.0,0.07903,0.20152,1.46275,0.21957,0.0313,0.13373,0.21148726902444082,C10H8O5,PPAs,Polyphenol-like,POCs
