Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Intensity,sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,Ymet,molecular formula,outline,specifics,MSCC
200.010345822608,7,8,4,0,1,1,0,0,CHOS,Lignin,201.017622289488,0.308348646078386,1,2705173.8,Altamaha_SW48_000107-3_p08,4.0,0.0,0.0,0.25,0.57143,1.14286,0.0,0.0,0.0,0.0,0.28571,52.15714,0.57143,189.0,0.02665,0.22834,1.28428,0.24474,0.07362,0.16673,0.30371824806841474,C(13)7H8O4S,PUCs,Lignin-like,POCs
201.040415021358,8,10,6,0,0,0,0,0,CHO,Tannin,202.047691488238,0.230467181842921,1,2367112.3,Altamaha_SW48_000107-3_p08,4.0,-2.0,0.0,0.2,0.75,1.25,0.0,0.0,0.0,0.0,0.25,53.175,0.75,202.0,0.07692,0.19553,1.42073,0.21307,0.03022,0.1297,0.2671453395675395,C8H10O6,PUCs,Tannin-like,POCs
201.076792993209,9,14,5,0,0,0,0,0,CHO,AminoSugar,202.084069460089,0.267709430447016,1,3417996.0,Altamaha_SW48_000107-3_p08,3.0,-2.0,0.0,0.07692,0.55556,1.55556,0.0,0.0,0.0,0.0,-0.44444,72.96667,0.55556,202.0,0.03517,0.23734,1.37926,0.25488,0.07199,0.1715,0.2071404581296331,C9H14O5,UAAs,Aliphatic-like,Lipid
201.113167965072,10,18,4,0,0,0,0,0,CHO,Protein,202.120444431952,0.319780851332377,1,3325840.0,Altamaha_SW48_000107-3_p08,2.0,-2.0,0.0,0.0,0.4,1.8,0.0,0.0,0.0,0.0,-1.0,88.8,0.4,202.0,0.00659,0.27915,1.33778,0.29669,0.11377,0.21329,0.16914739612630547,C10H18O4,UAAs,Aliphatic-like,Lipid
202.1084591991,9,17,4,1,0,0,0,0,CHON,Protein,203.11573566598,0.110150598582881,1,1417719.3,Altamaha_SW48_000107-3_p08,2.0,-2.0,0.0,0.0,0.44444,1.88889,0.11111,0.0,inf,0.0,-0.66667,79.3,0.55556,203.0,0.00552,0.26838,1.35646,0.28601,0.10219,0.2022,0.20067853956216938,C9H17O4N,N_Ccs,Aliphatic-like,Not Matched
203.034978492803,11,8,4,0,0,0,0,0,CHO,ConHC,204.042254959683,0.0185526122489155,1,1697873.8,Altamaha_SW48_000107-3_p08,8.0,4.0,0.57143,0.66667,0.36364,0.72727,0.0,0.0,0.0,0.0,0.0,60.3,0.36364,204.0,0.06397,0.2112,1.42118,0.22891,0.04424,0.14471,0.18456145058063844,C11H8O4,PPAs,Polyphenol-like,POCs
203.056101476776,8,12,6,0,0,0,0,0,CHO,Carb,204.063377943656,0.0498577628881828,1,1622867.8,Altamaha_SW48_000107-3_p08,3.0,-3.0,0.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,60.3,0.75,204.0,0.06357,0.2116,1.42078,0.22931,0.04464,0.14511,0.25377199454837784,C8H12O6,UAAs,Carbohydrate-like,Not Matched
203.071302465245,12,12,3,0,0,0,0,0,CHO,Lignin,204.078578932125,0.320069725996477,1,1702997.3,Altamaha_SW48_000107-3_p08,7.0,4.0,0.44444,0.52381,0.25,1.0,0.0,0.0,0.0,0.0,-0.5,74.55,0.25,204.0,0.02222,0.25301,1.3797,0.27072,0.08601,0.18651,0.1537843807180399,C12H12O3,PPAs,Polyphenol-like,POCs
203.092454449202,9,16,5,0,0,0,0,0,CHO,AminoSugar,204.099730916082,0.209250730212278,1,2595159.3,Altamaha_SW48_000107-3_p08,2.0,-3.0,0.0,0.0,0.55556,1.77778,0.0,0.0,0.0,0.0,-0.66667,79.3,0.55556,204.0,0.02182,0.25341,1.37931,0.27112,0.08641,0.18691,0.1990086766772904,C9H16O5,UAAs,Aliphatic-like,Lipid
205.05060697861,11,10,4,0,0,0,0,0,CHO,Lignin,206.05788344549,0.123091189040094,1,3056645.8,Altamaha_SW48_000107-3_p08,7.0,3.0,0.42857,0.55556,0.36364,0.90909,0.0,0.0,0.0,0.0,-0.18182,65.48182,0.36364,206.0,0.05062,0.22727,1.42123,0.24515,0.05866,0.16012,0.1782968531766994,C11H10O4,PPAs,Polyphenol-like,POCs
