Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Intensities,Sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,Ymet,molecular formula,outline,specifics,MSCC
201.040345166587,8,10,6,0,0,0,0,0,CHO,Tannin,202.047621633467,0.576201451347595,1,2444873.5,Altamaha_PP48_000107-4_p08,4.0,-2.0,0.0,0.2,0.75,1.25,0.0,0.0,0.0,0.0,0.25,53.175,0.75,202.0,0.07692,0.19553,1.42073,0.21307,0.03022,0.1297,0.2671453395675395,C8H10O6,PUCs,Tannin-like,POCs
201.076767123912,9,14,5,0,0,0,0,0,CHO,AminoSugar,202.084043590792,0.395722030550031,1,2871372.3,Altamaha_PP48_000107-4_p08,3.0,-2.0,0.0,0.07692,0.55556,1.55556,0.0,0.0,0.0,0.0,-0.44444,72.96667,0.55556,202.0,0.03517,0.23734,1.37926,0.25488,0.07199,0.1715,0.2071404581296331,C9H14O5,UAAs,Aliphatic-like,Lipid
201.113149081297,10,18,4,0,0,0,0,0,CHO,Protein,202.120425548177,0.413209219582927,1,2212175.3,Altamaha_PP48_000107-4_p08,2.0,-2.0,0.0,0.0,0.4,1.8,0.0,0.0,0.0,0.0,-1.0,88.8,0.4,202.0,0.00659,0.27915,1.33778,0.29669,0.11377,0.21329,0.16914739612630547,C10H18O4,UAAs,Aliphatic-like,Lipid
203.034892848858,11,8,4,0,0,0,0,0,CHO,ConHC,204.042169315738,0.438289113871718,1,1329246.6,Altamaha_PP48_000107-4_p08,8.0,4.0,0.57143,0.66667,0.36364,0.72727,0.0,0.0,0.0,0.0,0.0,60.3,0.36364,204.0,0.06397,0.2112,1.42118,0.22891,0.04424,0.14471,0.18456145058063844,C11H8O4,PPAs,Polyphenol-like,POCs
203.038295844937,8,12,4,0,0,1,0,0,CHOS,Protein,204.045572311817,0.280583312353612,1,1333470.9,Altamaha_PP48_000107-4_p08,3.0,-1.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,-0.25,67.425,0.5,204.0,0.00264,0.27261,1.36026,0.29033,0.1056,0.20611,0.2392560729592833,C8H12O4S,UAAs,Aliphatic-like,Lipid
203.056031824504,8,12,6,0,0,0,0,0,CHO,Carb,204.063308291384,0.391184563304073,1,1988064.1,Altamaha_PP48_000107-4_p08,3.0,-3.0,0.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,60.3,0.75,204.0,0.06357,0.2116,1.42078,0.22931,0.04464,0.14511,0.25377199454837784,C8H12O6,UAAs,Carbohydrate-like,Not Matched
203.092374782643,9,16,5,0,0,0,0,0,CHO,AminoSugar,204.099651249523,0.599582490689047,1,1449954.6,Altamaha_PP48_000107-4_p08,2.0,-3.0,0.0,0.0,0.55556,1.77778,0.0,0.0,0.0,0.0,-0.66667,79.3,0.55556,204.0,0.02182,0.25341,1.37931,0.27112,0.08641,0.18691,0.1990086766772904,C9H16O5,UAAs,Aliphatic-like,Lipid
205.014169587467,10,6,5,0,0,0,0,0,CHO,ConHC,206.021446054347,0.37495491294881,1,1520091.5,Altamaha_PP48_000107-4_p08,8.0,3.0,0.6,0.73333,0.5,0.6,0.0,0.0,0.0,0.0,0.4,48.9,0.5,206.0,0.09238,0.18546,1.4627,0.20333,0.01688,0.11833,0.22069439944832564,C10H6O5,PAs,Cond. aromatic-like,POCs
205.050581546223,11,10,4,0,0,0,0,0,CHO,Lignin,206.057858013103,0.24651472909484,1,3730525.8,Altamaha_PP48_000107-4_p08,7.0,3.0,0.42857,0.55556,0.36364,0.90909,0.0,0.0,0.0,0.0,-0.18182,65.48182,0.36364,206.0,0.05062,0.22727,1.42123,0.24515,0.05866,0.16012,0.1782968531766994,C11H10O4,PPAs,Polyphenol-like,POCs
205.086925505069,12,14,3,0,0,0,0,0,CHO,Lignin,206.094201971949,0.448065738572204,1,1717343.8,Altamaha_PP48_000107-4_p08,6.0,3.0,0.33333,0.42857,0.25,1.16667,0.0,0.0,0.0,0.0,-0.66667,79.3,0.25,206.0,0.00887,0.26908,1.37975,0.28696,0.10043,0.20192,0.14925650750796782,C12H14O3,PUCs,Lignin-like,POCs
