Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Intensities,sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,Ymet,molecular formula,outline,specifics,MSCC
200.010356385195,7,8,4,0,1,1,0,0,CHOS,Lignin,201.017632852075,0.25580305513972,1,1207381.0,Altamaha_SW48_000107-4_p08,4.0,0.0,0.0,0.25,0.57143,1.14286,0.0,0.0,0.0,0.0,0.28571,52.15714,0.57143,189.0,0.02665,0.22834,1.28428,0.24474,0.07362,0.16673,0.30371824806841474,C(13)7H8O4S,PUCs,Lignin-like,POCs
200.995960370159,7,7,5,0,0,0,1,0,CHOP,Tannin,202.003236837039,-0.628662398527306,1,1157298.9,Altamaha_SW48_000107-4_p08,5.0,0.0,0.0,0.42857,0.71429,1.0,0.0,0.14286,0.0,inf,-0.28571,68.44286,0.71429,202.0,0.13506,0.13732,1.47848,0.15485,0.02795,0.07151,0.2681779927384912,C7H7O5P,PUCs,Tannin-like,POCs
201.040412324584,8,10,6,0,0,0,0,0,CHO,Tannin,202.047688791464,0.243814400645674,1,2822583.0,Altamaha_SW48_000107-4_p08,4.0,-2.0,0.0,0.2,0.75,1.25,0.0,0.0,0.0,0.0,0.25,53.175,0.75,202.0,0.07692,0.19553,1.42073,0.21307,0.03022,0.1297,0.2671453395675395,C8H10O6,PUCs,Tannin-like,POCs
201.076785287305,9,14,5,0,0,0,0,0,CHO,AminoSugar,202.084061754185,0.305841612697783,1,3574970.3,Altamaha_SW48_000107-4_p08,3.0,-2.0,0.0,0.07692,0.55556,1.55556,0.0,0.0,0.0,0.0,-0.44444,72.96667,0.55556,202.0,0.03517,0.23734,1.37926,0.25488,0.07199,0.1715,0.2071404581296331,C9H14O5,UAAs,Aliphatic-like,Lipid
201.113162250033,10,18,4,0,0,0,0,0,CHO,Protein,202.120438716913,0.348056274432839,1,1981629.6,Altamaha_SW48_000107-4_p08,2.0,-2.0,0.0,0.0,0.4,1.8,0.0,0.0,0.0,0.0,-1.0,88.8,0.4,202.0,0.00659,0.27915,1.33778,0.29669,0.11377,0.21329,0.16914739612630547,C10H18O4,UAAs,Aliphatic-like,Lipid
203.034957297663,11,8,4,0,0,0,0,0,CHO,ConHC,204.042233764543,0.122428852531555,1,2160736.0,Altamaha_SW48_000107-4_p08,8.0,4.0,0.57143,0.66667,0.36364,0.72727,0.0,0.0,0.0,0.0,0.0,60.3,0.36364,204.0,0.06397,0.2112,1.42118,0.22891,0.04424,0.14471,0.18456145058063841,C11H8O4,PPAs,Polyphenol-like,POCs
203.056048276418,8,12,6,0,0,0,0,0,CHO,Carb,204.063324743298,0.310562919273876,1,2542689.5,Altamaha_SW48_000107-4_p08,3.0,-3.0,0.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,60.3,0.75,204.0,0.06357,0.2116,1.42078,0.22931,0.04464,0.14511,0.25377199454837784,C8H12O6,UAAs,Carbohydrate-like,Not Matched
203.071298261059,12,12,3,0,0,0,0,0,CHO,Lignin,204.078574727939,0.340670553288521,1,1427042.9,Altamaha_SW48_000107-4_p08,7.0,4.0,0.44444,0.52381,0.25,1.0,0.0,0.0,0.0,0.0,-0.5,74.55,0.25,204.0,0.02222,0.25301,1.3797,0.27072,0.08601,0.18651,0.15378438071803988,C12H12O3,PPAs,Polyphenol-like,POCs
203.092417239792,9,16,5,0,0,0,0,0,CHO,AminoSugar,204.099693706672,0.391560742990714,1,2468196.5,Altamaha_SW48_000107-4_p08,2.0,-3.0,0.0,0.0,0.55556,1.77778,0.0,0.0,0.0,0.0,-0.66667,79.3,0.55556,204.0,0.02182,0.25341,1.37931,0.27112,0.08641,0.18691,0.1990086766772904,C9H16O5,UAAs,Aliphatic-like,Lipid
205.014194320996,10,6,5,0,0,0,0,0,CHO,ConHC,206.021470787876,0.254901705753085,1,1857520.1,Altamaha_SW48_000107-4_p08,8.0,3.0,0.6,0.73333,0.5,0.6,0.0,0.0,0.0,0.0,0.4,48.9,0.5,206.0,0.09238,0.18546,1.4627,0.20333,0.01688,0.11833,0.2206943994483257,C10H6O5,PAs,Cond. aromatic-like,POCs
