C,H,O,N,C13,S,P,El_comp,Class,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,molecular formula,outline,specifics,MSCC
8,10,6,0,0,0,0,CHO,Tannin,4.0,-2.0,0.0,0.2,0.75,1.25,0.0,0.0,0.0,0.0,0.25,53.175,0.75,202.0,0.07692,0.19553,1.42073,0.21307,0.03022,0.1297,C8H10O6,PUCs,Tannin-like,POCs
9,14,5,0,0,0,0,CHO,AminoSugar,3.0,-2.0,0.0,0.07692,0.55556,1.55556,0.0,0.0,0.0,0.0,-0.44444,72.96667,0.55556,202.0,0.03517,0.23734,1.37926,0.25488,0.07199,0.1715,C9H14O5,UAAs,Aliphatic-like,Lipid
10,18,4,0,0,0,0,CHO,Protein,2.0,-2.0,0.0,0.0,0.4,1.8,0.0,0.0,0.0,0.0,-1.0,88.8,0.4,202.0,0.00659,0.27915,1.33778,0.29669,0.11377,0.21329,C10H18O4,UAAs,Aliphatic-like,Lipid
11,8,4,0,0,0,0,CHO,ConHC,8.0,4.0,0.57143,0.66667,0.36364,0.72727,0.0,0.0,0.0,0.0,0.0,60.3,0.36364,204.0,0.06397,0.2112,1.42118,0.22891,0.04424,0.14471,C11H8O4,PPAs,Polyphenol-like,POCs
8,12,6,0,0,0,0,CHO,Carb,3.0,-3.0,0.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,60.3,0.75,204.0,0.06357,0.2116,1.42078,0.22931,0.04464,0.14511,C8H12O6,UAAs,Carbohydrate-like,Not Matched
12,12,3,0,0,0,0,CHO,Lignin,7.0,4.0,0.44444,0.52381,0.25,1.0,0.0,0.0,0.0,0.0,-0.5,74.55,0.25,204.0,0.02222,0.25301,1.3797,0.27072,0.08601,0.18651,C12H12O3,PPAs,Polyphenol-like,POCs
9,16,5,0,0,0,0,CHO,AminoSugar,2.0,-3.0,0.0,0.0,0.55556,1.77778,0.0,0.0,0.0,0.0,-0.66667,79.3,0.55556,204.0,0.02182,0.25341,1.37931,0.27112,0.08641,0.18691,C9H16O5,UAAs,Aliphatic-like,Lipid
10,6,5,0,0,0,0,CHO,ConHC,8.0,3.0,0.6,0.73333,0.5,0.6,0.0,0.0,0.0,0.0,0.4,48.9,0.5,206.0,0.09238,0.18546,1.4627,0.20333,0.01688,0.11833,C10H6O5,PAs,Cond. aromatic-like,POCs
11,10,4,0,0,0,0,CHO,Lignin,7.0,3.0,0.42857,0.55556,0.36364,0.90909,0.0,0.0,0.0,0.0,-0.18182,65.48182,0.36364,206.0,0.05062,0.22727,1.42123,0.24515,0.05866,0.16012,C11H10O4,PPAs,Polyphenol-like,POCs
8,14,4,0,0,1,0,CHOS,Protein,2.0,-2.0,0.0,0.0,0.5,1.75,0.0,0.0,0.0,0.0,-0.5,74.55,0.5,206.0,0.01071,0.28868,1.36031,0.30657,0.12002,0.22152,C8H14O4S,UAAs,Aliphatic-like,Lipid
