Trans name,Altamaha_SW48_000107-2_p08
H2,960
hydrogenation/dehydrogenation,950
C_1H_2O1,781
CH6O_1,771
H4,707
C_1O1,651
H6,541
C_1H2O,537
H_4O1,504
CH_4,491
C2H_2O_1,438
C_1H4O,429
H_6O1,412
C_2H_2O2,407
H_2C1,404
C_1H_6O2,385
C_2O2,367
C1,366
H_2O1,360
C2O_1,346
C_1H_4O2,342
C_2H2O2,317
methanol (-H2O),310
CH2,298
C2H2O_1,294
O1,288
H8,269
hydroxylation (-H),257
C_1H_2O2,249
C1H4,244
C2H4O_1,242
C3H2O_2,237
C_3H_2O3,230
H2O,223
condensation/dehydration,213
C3H4O_2,211
C_1O2,206
C2H6O_1,186
H4O,180
CH6,177
ethyl addition (-H2O),162
CH_4O,160
C1H2O1,158
Formic Acid (-H2O),157
C2H2,157
C2,156
H_2C1O1,156
H_4O2,155
Formic Acid_(_H2O)_CO,155
acetotacetate_(_H2O)_C4H4O2,152
H10,152
CH_2O3,148
C_1H2O2,147
ethyl addition_(_H2O)_C2H4,146
H_2O2,146
C2H8O_1,144
C5H6O1,142
C2H_2,127
C3O_1,125
C3H4O_1,124
O2,123
C3H2O_1,123
C1H4O1,120
C3H6O_1,119
C_1H4O2,115
C3H4,112
H2O2,110
C2O1,110
acetylation_(_H2O)_C2H2O,109
C1H_2O2,109
acetylation (-H2O),108
C1H6O1,108
C2H4O1,103
Carboxylation,103
Carboxylation_CO2,102
C3H2,100
C2H8,100
C3,97
C4H6O1,96
C3H6,96
C2H6O1,95
C2H_2O,94
glyoxylate_(_H2O)_C2O2,93
CH_4O2,92
C1H2O2,91
C2H_2O2,90
C3H2O1,90
glyoxylate (-H2O),90
H4O2,90
C2H2O2,86
C3H8,83
C4H4,82
C1H4O2,82
C3H4O1,82
C4H6O_1,78
C_1O3,78
C4H8O_1,76
C4H2,76
H_2O3,74
O3,73
O2H6,71
C3H4O2,71
C4H2O_1,70
C2H8O,69
C3H2O2,68
C3H6O1,68
C2H4O2,68
C4H6O2,67
C4H4O_1,65
C4H4O1,62
C4,61
acetotacetate (-H2O),60
C4H2O2,59
C5H8O_1,59
malonyl group (-H2O),58
C5H8O1,57
C3H6O2,57
C4H6,57
C4H8O1,56
C4H2O3,55
C3H4O3,55
C4H12O_1,54
#N/A-3,54
C6H8O,53
C5H8,53
C5H4O1,52
C5H4,52
C11H12O6,52
C5H10O1,51
erythose (-H2O),50
C2O3,49
O4,49
C4H4O3,47
C6H8O3,47
C2H4O3,47
C6H6O3,46
C5H6O3,44
C3H6O3,44
C6H6O2,44
C5H4O3,43
C5H8O2,43
C5H2O2,43
C6H4O1,42
C5H6O2,41
C5H6O4,40
C6H10O3,40
C5H4O2,40
C6H8,40
C4O3,39
C4H8O2,39
C7H10O1,39
C12H20O5,38
C7H8,38
C3O3,38
C6H10O1,37
C3H4O4,37
C6H4O2,37
C6H4,36
C4H4O4,36
C4H2O4,36
C5H8O3,36
C6H14,35
D-Ribose (-H2O) (ribosylation),35
#N/A-2,35
C6H10O2,35
C7H8O1,35
pentose_C5H8O4,35
C5H4O4,35
C4H6O4,34
C7H6O3,33
C8H8O3,33
C1H2O3,33
C7H8O4,33
C8H14O1,32
CH2O4,32
CO3,32
C2H2O3,32
H2O4,31
C3H2O5,31
C8H8O2,31
C4H8O3,31
C7H10O5,31
C5H10O2,31
C4H4O5,30
C7H12O3,30
C7H6O2,30
C9H10O3,30
C12H16O4,29
C5H10O4,29
C8H8O1,29
C9H14O1,29
C6H14O_1,29
C7H4,28
C8H12,28
C9H12O1,28
C6H12O4,28
C8H4O3,28
C6H8O4,28
C7H4O6,27
C4H8,27
C7H12O5,27
C9H10O2,26
C8H12O8,26
C6H6O5,26
C12H10O4,26
C10H8O4,26
C6H8O5,26
C7H6,25
H2O3,25
C7H4O2,25
C2H6O3,25
C7H10O3,25
C8H10O_2,25
C15H18O3,25
C6H10O4,25
C6H14O1,25
C8H4O2,25
C6H6O6,24
C10H14O1,24
C1H4O3,24
C8H16,24
C8H6O2,24
C9H16O3,24
C2H6O4,24
C2H6O2,23
C13H16O3,23
C9H10,23
C7H4O4,23
C10H18O4,23
C9H8O2,23
C8H10O1,23
C6H10O6,22
C5H6,22
C7H12O4,22
C8H12O7,22
C5H10O5,22
C7H4O1,22
Glucuronic Acid (-H2O),22
C11H8O3,22
C6H10O5,21
C8H6O3,21
C10H12O2,21
C6H4O4,21
C9H8O1,21
C7H10O4,21
C10H14O2,20
C9H6O5,20
C11H8O4,20
C10H10O1,20
C8H6O1,20
C10H8O3,20
C10H12O3,19
C10H14O3,19
C6O2,19
C5O5H8,19
C10H10O2,19
C8H8,19
C12H16O2,19
C10H4O5,19
C8H14O4,19
C11H6O3,18
CH4_O,18
CH_4O3,18
H16,17
C10H12O1,17
C3H8O1,17
C2H2O4,17
C11H12O3,16
glucose_C6H12O6,16
C14H20O2,16
C4H8O5,16
C15H22O2,16
CH6O2,16
C9H6O3,16
C6H12O5,16
C2O7,15
C16H24O2,15
C11H10O4,15
C10H16O1,15
