Mass,Abundance,C,H,O,N,C13,S,P,Na,Error_ppm,Candidates,CalMass,AlignMasses,NeutralMass,sn,resolution,rel_abu,peak_index
102.244179,1242651.8,0,0,0,0,0,0,0,0,0,0,102.244192126449,102.244192126449,103.251468593329,9.02,1041247.1,0.0059984080214864,0
104.13758,2188340.5,0,0,0,0,0,0,0,0,0,0,104.137588090681,104.137588090681,105.144864557561,17.8,1077161.8,0.0105633446223178,1
106.102422,1193660.5,0,0,0,0,0,0,0,0,0,0,106.102424709853,106.102424709853,107.109701176733,8.56,853489.6,0.00576192197857152,2
106.198377,1029424.9,0,0,0,0,0,0,0,0,0,0,106.198379443077,106.198379443077,107.205655909957,7.04,970030.8,0.00496913984889237,3
106.248605,1043051,0,0,0,0,0,0,0,0,0,0,106.248607303285,106.248607303285,107.255883770165,7.16,805037.7,0.00503491443477522,4
107.194013,1097063.1,0,0,0,0,0,0,0,0,0,0,107.194012653215,107.194012653215,108.201289120095,7.67,754306.9,0.00529563639558301,5
108.569567,1051013.5,0,0,0,0,0,0,0,0,0,0,108.569562733917,108.569562733917,109.576839200797,7.24,1119583.1,0.00507335024106552,6
109.131602,1122789.9,0,0,0,0,0,0,0,0,0,0,109.13159611107,109.13159611107,110.13887257795,7.91,843370.9,0.00541982230469059,7
109.603052,1030220,0,0,0,0,0,0,0,0,0,0,109.603044740247,109.603044740247,110.610321207127,7.05,1057843.1,0.00497297787835315,8
110.294138,1060279.6,0,0,0,0,0,0,0,0,0,0,110.294128715153,110.294128715153,111.301405182033,7.33,916300.5,0.00511807865860605,9
110.869223,1054223,0,0,0,0,0,0,0,0,0,0,110.869212015878,110.869212015878,111.876488482758,7.27,944320.6,0.00508884282760099,10
110.891938,1067001.9,0,0,0,0,0,0,0,0,0,0,110.891926948497,110.891926948497,111.899203415377,7.39,772362.4,0.00515052789196558,11
110.989575,1087429.1,0,0,0,0,0,0,0,0,0,0,110.989563658645,110.989563658645,111.996840125525,7.58,970594.7,0.00524913208691102,12
111.166169,1040072.8,0,0,0,0,0,0,0,0,0,0,111.166157133464,111.166157133464,112.173433600344,7.14,834546.5,0.00502053835712451,13
111.508485,1091185.3,0,0,0,0,0,0,0,0,0,0,111.508472112026,111.508472112026,112.515748578906,7.61,1060646.2,0.0052672636505641,14
111.556752,1038467.1,0,0,0,0,0,0,0,0,0,0,111.556738967641,111.556738967641,112.564015434521,7.12,957695.7,0.00501278747810909,15
111.605402,1092660.9,0,0,0,0,0,0,0,0,0,0,111.60538882202,111.605382341756,112.612658808636,7.63,1043104.1,0.00527438652350123,16
111.638048,1220099.5,0,0,0,0,0,0,0,0,0,0,111.638034724252,111.638034724252,112.645311191132,8.81,944503.6,0.00588954575031521,17
111.645443,1052283.1,0,0,0,0,0,0,0,0,0,0,111.6454297021,111.6454297021,112.65270616898,7.25,886159.5,0.00507947873081951,18
111.654337,1064064.8,0,0,0,0,0,0,0,0,0,0,111.654323675454,111.654323675454,112.661600142334,7.36,590832,0.00513635020824122,19
111.659659,1100970.5,0,0,0,0,0,0,0,0,0,0,111.659645659509,111.659645659509,112.666922126389,7.71,741589.9,0.0053144978171841,20
111.69115,1035837.2,0,0,0,0,0,0,0,0,0,0,111.691136565135,111.691136565135,112.698413032015,7.1,816404.4,0.00500009268037435,21
111.711935,1035952.3,0,0,0,0,0,0,0,0,0,0,111.711921502825,111.711921502825,112.719197969705,7.1,1063030.4,0.00500064827991018,22
111.714858,1044072.1,0,0,0,0,0,0,0,0,0,0,111.714844494061,111.714844494061,112.722120960941,7.18,1008443.9,0.00503984338947576,23
111.720126,1133343.9,0,0,0,0,0,0,0,0,0,0,111.720112478265,111.720112478265,112.727388945145,8.01,816026.1,0.00547076754796692,24
111.724165,1065451.8,0,0,0,0,0,0,0,0,0,0,111.724151466154,111.724125978878,112.731402445758,7.38,836391.8,0.00514304539986754,25
111.77391,1073129.6,0,0,0,0,0,0,0,0,0,0,111.773896316935,111.773896316935,112.781172783815,7.45,986903.2,0.00518010692998191,26
111.778036,1140589.4,0,0,0,0,0,0,0,0,0,0,111.778022304555,111.778022304555,112.785298771435,8.07,835012.5,0.00550574232152753,27
111.795068,1026828.7,0,0,0,0,0,0,0,0,0,0,111.79505425344,111.79505425344,112.80233072032,7.02,904314.1,0.00495660772452303,28
111.828342,1062623.3,0,0,0,0,0,0,0,0,0,0,111.82832815355,111.82832815355,112.83560462043,7.35,808298.2,0.00512939193951061,29
111.845864,1366658.5,0,0,0,0,0,0,0,0,0,0,111.845850100931,111.845850100931,112.853126567811,10.17,1034525,0.00659700111409533,30
111.873465,1081281.4,0,0,0,0,0,0,0,0,0,0,111.873451018021,111.873451018021,112.880727484901,7.52,726253.9,0.00521945650683807,31
111.986049,1076188.6,0,0,0,0,0,0,0,0,0,0,111.98603467953,111.98603467953,112.99331114641,7.48,976501.2,0.00519487303754134,32
112.072784,1077093.1,0,0,0,0,0,0,0,0,0,0,112.072769418427,112.072769418427,113.080045885307,7.48,721675.6,0.00519923915205181,33
112.175973,1092141,0,0,0,0,0,0,0,0,0,0,112.175958107418,112.175958107418,113.183234574298,7.62,808508.4,0.0052718769127395,34
112.579322,1136069.4,0,0,0,0,0,0,0,0,0,0,112.579305887853,112.579305887853,113.586582354733,8.03,1024939.8,0.00548392381673228,35
112.837196,1032836.2,0,0,0,0,0,0,0,0,0,0,112.837179104914,112.837179104914,113.844455571794,7.07,1031860.7,0.0049856065447791,36
113.054763,1058788.8,0,0,0,0,0,0,0,0,0,0,113.054745442396,113.054745442396,114.062021909276,7.31,924132.8,0.00511088241370588,37
113.389806,1051758.3,0,0,0,0,0,0,0,0,0,0,113.389787418658,113.389787418658,114.397063885538,7.25,825860.2,0.0050769454672539,38
113.468978,1045455.9,0,0,0,0,0,0,0,0,0,0,113.468959176127,113.468959176127,114.476235643007,7.19,713326.6,0.00504652313437303,39
113.473079,1033167.8,0,0,0,0,0,0,0,0,0,0,113.473060163558,113.473060163558,114.480336630438,7.08,785180.8,0.0049872072120778,40
113.609442,1045763.8,0,0,0,0,0,0,0,0,0,0,113.609422745259,113.609422745259,114.616699212139,7.19,1023728,0.00504800939933463,41
113.768676,1045499.5,0,0,0,0,0,0,0,0,0,0,113.768656255919,113.768656255919,114.775932722799,7.19,716068,0.00504673359605645,42
113.906914,1030043.9,0,0,0,0,0,0,0,0,0,0,113.906893830331,113.906893830331,114.914170297211,7.05,866085.2,0.00497212782554464,43
114.262321,1031183.6,0,0,0,0,0,0,0,0,0,0,114.262299732873,114.262299732873,115.269576199753,7.06,787467.3,0.00497762927464091,44
114.839021,1155649,0,0,0,0,0,0,0,0,0,0,114.838997942068,114.838997942068,115.846274408948,8.21,695367.5,0.00557843655931834,45
114.867494,1033984.6,0,0,0,0,0,0,0,0,0,0,114.867470853332,114.867470853332,115.874747320212,7.08,915611.4,0.00499114998967,46
116.433637,1042804,0,0,0,0,0,0,0,0,0,0,116.433608926365,116.433608926365,117.440885393245,7.17,666467.8,0.00503372214037601,47
116.439493,1053640,0,0,0,0,0,0,0,0,0,0,116.439464907774,116.439464907774,117.446741374654,7.27,951616.9,0.00508602862665063,48
116.606087,1037584.9,0,0,0,0,0,0,0,0,0,0,116.606058378351,116.606058378351,117.613334845231,7.12,989941,0.00500852900799175,49
116.749065,1034122.1,0,0,0,0,0,0,0,0,0,0,116.749035923171,116.749035923171,117.756312390051,7.09,811673.4,0.00499181371630924,50
117.040048,1073565.3,0,0,0,0,0,0,0,0,0,0,117.04001799451,117.04001799451,118.04729446139,7.45,820194.8,0.00518221009868529,51
117.238666,1119912.1,0,0,0,0,0,0,0,0,0,0,117.238635358862,117.238635358862,118.245911825742,7.88,643692.5,0.0054059308681641,52
117.605413,1068911,0,0,0,0,0,0,0,0,0,0,117.605381181388,117.605381181388,118.612657648268,7.41,925613.3,0.00515974331397987,53
117.952634,1097015.4,0,0,0,0,0,0,0,0,0,0,117.952601062129,117.952601062129,118.959877529009,7.67,781980.7,0.00529540614277798,54
118.153695,1140973.1,0,0,0,0,0,0,0,0,0,0,118.153661412029,118.153661412029,119.160937878909,8.08,715985.4,0.00550759448088371,55
118.371461,1118932.1,0,0,0,0,0,0,0,0,0,0,118.371426706279,118.371426706279,119.378703173159,7.87,1049244,0.00540120030738991,56
118.879088,1058015.4,0,0,0,0,0,0,0,0,0,0,118.879052054538,118.879052054538,119.886328521418,7.31,671848.6,0.00510714913237654,57
119.262407,1097144.8,0,0,0,0,0,0,0,0,0,0,119.262369801187,119.262369801187,120.269646268067,7.67,984119.1,0.00529603076988428,58
119.313366,1025939.3,0,0,0,0,0,0,0,0,0,0,119.313328634171,119.313328634171,120.320605101051,7.01,793731.4,0.00495231449926532,59
119.502477,1130485,0,0,0,0,0,0,0,0,0,0,119.502439013564,119.502439013564,120.509715480444,7.98,840119,0.00545696734368393,60
