Mass,Abundance,C,H,O,N,C13,S,P,Na,Error_ppm,Candidates,CalMass,AlignMasses,NeutralMass,sn,resolution,rel_abu,peak_index
104.615782,1129667.9,0,0,0,0,0,0,0,0,0,0,104.615540219758,104.615540219758,105.622816686638,7.99,861401.8,0.00709480651686136,0
107.802701,1051613.3,0,0,0,0,0,0,0,0,0,0,107.802452008778,107.802452008778,108.809728475658,7.27,712594.7,0.00660458962679039,1
107.844708,1097590.9,0,0,0,0,0,0,0,0,0,0,107.844458913691,107.844458913691,108.851735380571,7.7,1065381.4,0.00689334898350898,2
108.478968,1059090.1,0,0,0,0,0,0,0,0,0,0,108.478717477841,108.478717477841,109.485993944721,7.34,811913.7,0.00665154718782693,3
108.834143,1022721.9,0,0,0,0,0,0,0,0,0,0,108.833891673676,108.833891673676,109.841168140556,7,948349.8,0.00642313904914607,4
109.107455,1137894.5,0,0,0,0,0,0,0,0,0,0,109.107203054804,109.107203054804,110.114479521684,8.07,884201.2,0.00714647314852507,5
109.333152,1026413.9,0,0,0,0,0,0,0,0,0,0,109.33289954371,109.33289954371,110.34017601059,7.04,872677.3,0.00644632641745161,6
109.571707,1094208.9,0,0,0,0,0,0,0,0,0,0,109.571454003462,109.571454003462,110.578730470342,7.67,730446.8,0.00687210855024534,7
109.736944,1051499.9,0,0,0,0,0,0,0,0,0,0,109.736690629232,109.736690629232,110.743967096112,7.27,731273,0.00660387742539119,8
109.837596,1029394.5,0,0,0,0,0,0,0,0,0,0,109.837342401266,109.837342401266,110.844618868146,7.06,920056.1,0.00646504588385776,9
111.57998,1081976.6,0,0,0,0,0,0,0,0,0,0,111.57972245378,111.57972245378,112.58699892066,7.55,919149.4,0.0067952843776224,10
111.67951,1053008.3,0,0,0,0,0,0,0,0,0,0,111.679252228219,111.679252228219,112.686528695099,7.29,963593.3,0.00661335083447897,11
111.696101,1109291.5,0,0,0,0,0,0,0,0,0,0,111.695843190619,111.695843190619,112.703119657499,7.81,1123202.5,0.00696683384851328,12
111.737504,1058709.8,0,0,0,0,0,0,0,0,0,0,111.737246096786,111.737236484443,112.744512951323,7.34,878715.8,0.006649158738161,13
