molecular formula,Altamaha_PP48_000107-3_p08
C8H10O6,1257186.0
C9H14O5,2035300.4
C10H18O4,1140582.6
C11H8O4,1639768.0
C8H12O4S,1159384.1
C12H12O3,1949145.9
C11H10O4,3721785.3
C8H14O4S,1317689.4
C12H14O3,2129466.8
C10H9O4N,1677410.5
C10H8O5,2497671.8
C11H12O4,4032137.0
C12H16O3,1997962.4
C10H10O5,3202250.8
C11H14O4,3865804.0
C9H9O5N,1296616.6
C9H8O6,2192900.5
C10H12O5,7122181.5
C11H16O4,3751686.5
C9H11O5N,1861152.9
C9H10O6,4753211.5
C10H14O5,8848701.0
C11H18O4,1806397.6
C8H8O5S,2264434.0
C9H12O6,5244275.5
C13H12O3,1171188.0
C10H16O5,3856244.8
C12H10O4,2398384.3
C9H14O4S,1711664.4
C9H14O6,2143921.0
C13H14O3,1856689.5
C10H18O5,3738546.3
C11H8O5,2042102.4
C12H12O4,3606519.8
C13H16O3,1471737.1
C11H11O4N,1246624.1
C10H6O6,1147082.4
C11H10O5,5002316.0
C12H14O4,21043790.0
C13H18O3,1786703.5
C10H22O3S,1332559.6
C14H22O2,1593681.3
C10H9O5N,2304893.3
C11H13O4N,1451391.1
C10H8O6,3325619.0
C11H12O5,9324213.0
C12H16O4,6276791.0
C10H11O5N,2389489.5
C9H6O7,1252400.8
C10H10O4S,1213746.1
C10H10O6,7289651.5
C11H14O5,12210998.0
C12H18O4,3666232.5
C10H13O5N,2100863.8
C9H8O7,1190861.0
C10H12O6,11490256.0
C11H16O5,10621907.0
C12H20O4,1538902.4
C9H11O6N,1344809.5
C10H15O5N,1197868.9
C9H10O7,2364810.3
C13H10O4,1238027.8
C10H14O6,9671822.0
C11H18O5,2934417.8
C12H8O5,1804138.4
C9H12O5S,2085738.8
C9H12O7,2395757.0
C13H12O4,2559342.8
C10H16O6,3179889.5
C14H16O3,1341811.3
C11H20O5,1315061.9
C11H6O6,1160049.4
C12H10O5,5777014.5
C9H14O5S,1313399.1
C13H14O4,5140604.0
C14H18O3,1930113.1
C15H22O2,6009478.5
C11H9O5N,2288907.0
C12H13O4N,1608464.6
C11H8O6,3189671.8
C12H12O5,9436078.0
C13H16O4,5556147.5
C14H20O3,1735353.8
C11H11O5N,2211158.5
C11H10O6,7831815.0
C12H14O5,11993358.0
C13H18O4,6056212.5
C14H22O3,1272347.0
C11H13O5N,2603465.8
C10H8O5S,1267585.8
C10H8O7,2204549.3
C11H12O6,12106381.0
C10H12O5N2,2139279.0
C12H16O5,13126292.0
C13H20O4,9419419.0
C10H11O6N,2038618.8
C11H15O5N,1716450.5
C10H10O7,5117487.0
C11H14O4S,1457459.1
C11H14O6,17187896.0
C12H18O5,8002623.0
C13H22O4,1609287.0
C10H13O6N,2796566.3
C12H21O4N,2225191.0
C13H25O3N,1237871.4
C13H8O5,1592438.1
C10H12O5S,1759222.9
C10H12O7,9475579.0
C14H12O4,1733118.6
C11H16O6,13657604.0
C12H20O5,3690508.3
C13H24O4,1352980.9
C9H10O6S,1350873.8
C9H10O8,1342174.3
C13H10O5,4306914.0
C10H14O5S,3953123.0
C10H14O7,6683623.5
C14H14O4,3199467.3
C11H18O6,4519920.5
C15H18O3,1399924.4
C12H8O6,3961314.5
C9H12O6S,1190755.4
C13H12O5,7944684.0
C10H16O5S,2304749.0
C10H16O7,2021873.8
C14H16O4,5655030.0
C11H20O6,1263611.5
C12H11O5N,2893048.5
C13H15O4N,1660162.4
C11H6O7,1165309.9
C12H10O6,10226696.0
C9H14O6S,1517065.0
C11H10O5N2,1676555.3
C13H14O5,11637778.0
C12H14O4N2,1411349.4
C14H18O4,5785628.5
C15H22O3,2040358.6
C11H9O6N,2058273.1
C12H13O5N,3615019.5
C11H8O7,2850877.0
C12H12O4S,1291458.4
C12H12O6,13170248.0
C9H16O6S,1215816.5
C11H12O5N2,1839690.8
C13H16O5,13182546.0
C14H20O4,5055068.5
C11H11O6N,3410796.5
C12H15O5N,2440823.3
C14H6OS2,1981058.5
C11H10O7,8423572.0
C12H14O6,20881566.0
C11H14O5N2,1200802.1
C13H18O5,14383274.0
C14H22O4,3307700.8
C11H13O6N,4523982.5
C12H17O5N,1195865.8
C11H12O5S,2161146.5
C11H12O7,18733824.0
C12H16O6,26968844.0
C13H20O5,8280854.5
C10H11O7N,1984057.5
C11H15O6N,2717765.0
C10H10O6S,1882990.4
C10H10O8,4809588.0
C14H10O5,2554745.0
C11H14O5S,2856826.0
C11H14O7,25732480.0
C15H14O4,1839236.6
C12H18O6,17044876.0
C13H22O5,2440855.3
C13H9O5N,1427771.3
C10H13O7N,1297986.1
C14H13O4N,1312199.1
C11H17O6N,1550286.0
C13H8O6,2706429.8
C10H12O6S,3126783.0
C10H12O8,7270405.0
C14H12O5,5379082.0
C11H16O5S,2562571.0
C11H16O7,12392465.0
C15H16O4,3382293.8
C12H20O4S,6321175.0
C12H20O6,3903516.8
C13H11O5N,2291028.0
C13H10O6,9210526.0
C10H14O6S,2939550.8
C12H10O5N2,1249953.5
C10H14O8,2302116.8
C14H14O5,9319082.0
C11H18O5S,1526187.0
C11H18O7,2313393.0
C15H18O4,5637814.0
C12H22O6,1198013.3
C12H9O6N,2890734.3
C13H13O5N,3929594.8
C14H17O4N,1274119.1
C12H8O7,4604222.0
C9H12O7S,1412287.3
C13H12O6,16057675.0
C10H16O6S,2256203.8
C12H12O5N2,1624398.4
C14H16O5,12522839.0
C15H20O4,5966179.5
C12H11O6N,4024480.8
C13H15O5N,2835629.5
C12H10O5S,1394159.5
C12H10O7,10883062.0
C13H14O6,19775490.0
C12H14O5N2,2282502.3
C14H18O5,15906831.0
C15H22O4,5140507.5
C12H26O4S,4321309.0
C11H9O7N,1631056.5
C12H13O6N,5236061.0
C13H17O5N,2259306.0
C11H8O6S,1238435.0
C11H8O8,2577065.3
C12H12O5S,1618351.9
C12H12O7,19923638.0
C11H12O6N2,1593274.0
C13H16O6,31310530.0
C12H16O5N2,1451206.8
C14H20O5,15213264.0
C15H24O4,3422428.5
C11H11O7N,3055636.5
C12H15O6N,4480033.5
C13H19O5N,1337902.1
C11H10O6S,3106666.0
C11H10O8,9364848.0
C15H10O5,1716597.6
C12H14O5S,2692982.8
C12H14O7,39150972.0
C11H14O6N2,1905537.0
C13H18O6,34956680.0
C14H22O5,8811927.0
C10H9O8N,1221201.0
C14H9O5N,1225430.5
C11H13O7N,4228318.0
C12H17O6N,2640619.0
C14H8O6,1711668.1
C11H12O6S,2860085.3
C11H12O8,24287292.0
C15H12O5,3514433.0
C12H16O5S,3892802.3
C12H16O7,42805320.0
C11H16O6N2,1258060.6
C16H16O4,1790030.1
C13H20O6,17117270.0
C14H24O5,1388770.5
C12H7O5N3,1345434.5
C14H11O5N,1723555.4
