molecular formula,Altamaha_SW48_000107-3_p08
C9H17O4N,1417719.3
C11H8O4,1697873.8
C8H12O6,1622867.8
C12H12O3,1702997.3
C11H10O4,3056645.8
C8H14O4S,1301510.0
C12H14O3,2473736.8
C10H8O5,3309986.8
C11H12O4,3919013.5
C12H16O3,2059432.3
C10H11O4N,1172206.1
C10H10O5,4422962.5
C11H14O4,3520821.0
C9H8O6,3593651.0
C10H12O5,6309301.5
C11H16O4,3197879.8
C9H11O5N,1667698.5
C7H6O6N2,2256939.8
C9H10O6,6161965.5
C10H14O5,8507951.0
C11H18O4,1492273.5
C12H9O3N,2314856.3
C8H8O5S,7297695.0
C9H12O4S,1318561.1
C9H12O6,8422050.0
C10H16O5,5730980.0
C11H20O4,4104358.3
C10H19O4N,2031839.3
C8H10O7,1524115.5
C12H10O4,1920788.4
C9H14O6,3240725.5
C13H14O3,1633046.4
C10H18O5,2811159.8
C11H8O5,1911943.8
C12H12O4,3050890.0
C11H11O4N,1147590.0
C10H6O6,1675777.0
C11H10O5,4727299.5
C12H14O4,15821830.0
C14H22O2,1733130.3
C10H8O6,4140166.0
C11H12O5,8128648.5
C12H16O4,4850315.0
C13H20O3,1431821.5
C10H11O5N,1952462.9
C9H6O7,1371413.5
C10H10O4S,1497110.9
C10H10O6,8614168.0
C11H14O5,11324699.0
C10H13O5N,2183017.5
C9H8O7,2868664.5
C10H12O6,12209596.0
C11H16O5,8398271.0
C12H20O4,2122434.0
C12H23O3N,2064413.9
C9H10O5S,3104366.8
C9H10O7,4257904.5
C10H14O6,9391732.0
C11H18O5,3306615.5
C12H22O4,3276923.0
C12H8O5,1745982.6
C9H12O5S,2516799.0
C9H12O7,3860289.0
C13H12O4,1929538.6
C10H16O6,4216133.0
C11H20O5,2262345.0
C11H6O6,1370150.5
C12H10O5,5046827.0
C9H14O5S,1193131.5
C13H14O4,3681327.5
C10H18O6,1353522.3
C14H18O3,1802548.1
C15H22O2,7127096.5
C11H9O5N,1257770.6
C11H8O6,4893999.5
C8H12O6S,1202224.0
C12H12O5,9195829.0
C13H16O4,4584761.5
C11H11O5N,1751490.1
C11H10O6,9137749.0
C12H14O5,10476122.0
C13H18O4,5601888.0
C10H9O6N,1496559.5
C11H13O5N,2526965.3
C10H8O7,3809678.8
C11H12O6,11338645.0
C10H12O5N2,3776918.8
C12H16O5,11019163.0
C13H20O4,11166625.0
C10H11O6N,1579324.4
C10H10O5S,1203429.0
C10H10O7,6687976.0
C11H14O4S,3300587.5
C11H14O6,12868847.0
C12H18O5,5957877.0
C13H22O4,1370363.6
C10H13O6N,2122402.5
C12H21O4N,2145456.0
C13H25O3N,25134518.0
C10H12O5S,1610838.8
C10H12O7,11642458.0
C14H12O4,1365597.0
C11H16O6,10931809.0
C12H20O5,3318888.0
C13H24O4,2628207.0
C9H10O6S,1583320.8
C9H10O8,1413596.4
C13H10O5,2821599.5
C10H14O5S,5588960.0
C10H14O7,7348195.5
C14H14O4,3000806.8
C11H18O6,6322155.0
C12H22O5,1733874.3
C11H21O5N,1454781.1
C12H8O6,4647287.0
C9H12O6S,1758583.9
C13H12O5,6983039.0
C10H16O7,2377091.3
C14H16O4,4679046.5
C11H20O6,1235083.0
C12H11O5N,1889107.9
C13H15O4N,1395547.8
C11H6O7,1747235.4
C12H10O6,9384747.0
C13H14O5,10953524.0
C10H18O5S,1350196.3
C14H18O4,5354299.5
C15H22O3,1509955.6
C11H9O6N,1340938.3
C12H13O5N,1743122.5
C11H8O7,3959019.3
C12H12O6,11617524.0
C9H16O6S,1248884.5
C13H16O5,10282236.0
