Molecular formula,Altamaha_SW48_000107-4_p08
C11H8O4,2160736.0
C8H12O6,2542689.5
C12H12O3,1427042.9
C10H6O5,1857520.1
C11H10O4,4118514.8
C8H14O4S,1423346.9
C12H14O3,2113269.0
C10H8O5,3406703.0
C11H12O4,3738737.3
C12H16O3,1522803.4
C11H15O3N,1957035.6
C10H10O5,5162718.0
C11H14O4,3376864.0
C9H8O6,3396927.8
C10H12O5,7518017.5
C11H16O4,3101763.3
C9H11O5N,1170479.6
C7H6O6N2,2324890.8
C9H10O6,7954332.0
C10H14O5,9039773.0
C11H18O4,2292639.0
C12H9O3N,1725640.5
C8H8O5S,2205170.3
C12H8O4,1372403.6
C9H12O4S,1321971.8
C9H12O6,8910837.0
C10H16O5,5261302.0
C11H20O4,2157559.8
C10H19O4N,1404963.8
C8H10O7,1299020.6
C12H10O4,2809421.3
C9H14O4S,1419085.4
C9H14O6,3420238.3
C10H18O5,1959247.9
C11H8O5,2177450.3
C12H12O4,2630828.0
C13H16O3,1793197.8
C10H6O6,1569808.0
C11H10O5,5493010.0
C15H10O2,1133714.9
C12H14O4,10817812.0
C14H22O2,2627096.0
C10H9O5N,1220554.0
C10H8O6,5223813.0
C9H8O5N2,1151877.8
C11H12O5,8507783.0
C12H16O4,4989321.5
C13H20O3,1313931.9
C10H11O5N,1681735.5
C9H6O7,2230537.0
C10H10O6,8829452.0
C11H14O5,11130382.0
C10H13O5N,1254872.8
C9H8O7,2795941.0
C10H12O6,12959400.0
C11H16O5,8917675.0
C12H20O4,1602990.3
C9H11O6N,1481598.8
C9H10O7,5293915.0
C13H10O4,1362268.6
C10H14O6,11411295.0
C11H18O5,3075426.3
C12H22O4,2093157.8
C12H8O5,1927724.9
C9H12O5S,2431533.3
C9H12O7,4587055.5
C13H12O4,1551153.0
C10H16O6,4484659.5
C11H20O5,1402167.6
C11H6O6,1727262.3
C12H10O5,5576483.0
C9H14O7,1526053.8
C13H14O4,3954983.8
C14H18O3,1749036.6
C15H22O2,4600113.5
C11H9O5N,1393193.6
C12H13O4N,1255342.8
C11H8O6,6290999.0
C12H12O5,9827900.0
C13H16O4,5319234.0
C14H20O3,1430855.3
C11H11O5N,2095572.0
C10H6O7,1352939.8
C11H10O6,11125618.0
C12H14O5,11971448.0
C13H18O4,4865405.5
C11H13O5N,2022943.4
C10H8O7,3966150.3
C11H12O6,12516557.0
C10H12O5N2,2626511.0
C12H16O5,11183315.0
C13H20O4,9845978.0
C10H11O6N,1340163.8
C10H10O5S,1395772.5
C10H10O7,8793664.0
C14H10O4,1553730.9
C11H14O6,13803079.0
C12H18O5,6627918.0
C13H22O4,2114901.3
C10H13O6N,2074124.8
C12H21O4N,1425179.5
C13H25O3N,3037986.8
C9H8O6S,1291979.8
C13H8O5,1257426.6
C10H12O5S,1363667.4
C10H12O7,14530519.0
C14H12O4,1635546.3
C11H16O6,13094879.0
C15H16O3,1247329.9
C12H20O5,2434534.3
C13H24O4,1609453.9
C9H10O6S,1666174.3
C9H10O8,2528130.3
C13H10O5,3715973.5
C10H14O5S,3655046.3
C10H14O7,10000778.0
C14H14O4,2601101.8
C11H18O6,6650258.5
C12H22O5,1334682.5
C12H8O6,5729098.5
C9H12O6S,2276939.5
C9H12O8,2169935.5
C13H12O5,7201619.0
C10H16O5S,1327444.0
C10H16O7,2948952.3
C14H16O4,3754843.8
C11H20O6,1620064.8
C11H7O6N,1522231.6
C12H11O5N,1734720.4
C13H15O4N,1297225.3
C11H6O7,2420520.0
C8H10O9,1429037.1
C12H10O6,10968369.0
C13H14O5,10530106.0
C10H18O5S,1255994.8
C14H18O4,5287235.0
C15H22O3,1206731.9
C11H9O6N,2017577.9
C12H13O5N,1812787.0
C11H8O7,5859109.5
C12H12O6,12937007.0
C9H16O6S,2376239.8
C13H16O5,9801528.0
C10H20O5S,1533241.3
C14H20O4,3956545.8
C11H11O6N,2101299.0
C12H15O5N,1199292.6
C10H6O8,1244719.6
C11H10O5S,1190324.6
C11H10O7,9587001.0
C12H14O6,16296259.0
C11H14O5N2,8624454.0
C13H18O5,10080589.0
C14H22O4,2402134.8
C11H13O6N,2377809.8
C10H8O6S,1573075.0
C10H8O8,2005591.9
C11H12O5S,2277469.3
C11H12O7,19006306.0
C15H12O4,1800294.4
C12H16O6,20603756.0
C13H20O5,6541174.5
C12H20O4N2,2322297.5
C16H32O2,2147989.0
C11H15O6N,1892484.5
C10H10O6S,2524814.5
C10H10O8,8169875.5
C14H10O5,2658712.0
C11H14O5S,1936537.0
C11H14O7,26092958.0
C15H14O4,1380514.5
C12H18O6,15308201.0
C13H22O5,3046835.3
C14H26O4,1543869.6
C14H13O4N,1353155.8
C13H8O6,3267547.0
C10H12O6S,2578396.0
C10H12O8,13434849.0
C14H12O5,4435942.0
C11H16O5S,1452774.8
C11H16O7,13735916.0
C15H16O4,2346480.5
C12H20O6,4893687.0
C13H24O5,1681665.6
C12H6O7,1804589.9
C12H10O3N2S,1295350.9
C13H10O6,9151033.0
C10H14O6S,2582586.0
C10H14O8,5615167.5
C14H14O5,8192580.0
C11H18O7,3682890.5
C15H18O4,4820559.0
C12H22O6,2064725.5
C12H9O6N,1498985.8
