Trans name,Altamaha_PP48_000107-2_p08
hydrogenation/dehydrogenation,247
C_1H_2O1,235
H4,219
C_1O1,218
CH4_O,216
C_1H2O,195
CH6O_1,171
C1,161
CH_4,158
C_2H_2O2,157
H_2C1,156
H6,148
hydroxylation (-H),144
H_2O1,138
C2H2O_1,138
C_2O2,136
H_4O1,135
C2H4O_1,134
methanol (-H2O),133
C2O_1,132
C_1H4O,131
H8,126
C3H2O_2,122
C_1H_6O2,121
C2H_2O_1,119
C_1H_4O2,115
H_6O1,115
C3H4O_2,109
C1H4,108
C2H6O_1,107
C_2H2O2,99
condensation/dehydration,98
C_3H_2O3,90
CH6,89
C2H8O_1,82
C_1O2,82
C_1H_2O2,82
H4O,82
C2,77
H3O_1N1,76
C2H_2,71
C_1H_1N1,71
NH_CH2,70
H_1O1N_1,68
H10,68
CH_1N_1O,65
H5O_1N1,64
C_1H2O2,64
H_2C1O1,63
C3H4O_1,60
ethyl addition (-H2O),59
Formic Acid (-H2O),58
C3H6O_1,58
C1H2O1,56
H3N_1O1,55
C_1H_5N_1O2,55
C3H2O_1,54
CHN_1O,53
H_1O2N_1,53
H1O1N_1,51
O2,50
C1H1N1O_1,49
C1H6O1,49
C3O_1,49
C_1H4O2,44
secondary amine,42
H_2O2,42
H2O2,41
C2H8,41
H_4O2,41
C2H2,40
C1H3N1O_1,40
CH_4O,39
CH5NO_1,39
H5O1N_1,39
H_1N1,37
C1H4O1,37
C1H_1N1O_1,37
acetylation (-H2O),36
N1H_3,35
C8H12O1S2,35
H1O2N_1,34
C2H3N1O_2,34
C3H4,32
C2HN_1O,31
C3,30
Carboxylation_CO2,30
C1H1N1,28
H3N1,28
C3H2,27
C4H2O_1,26
C2H_2O,26
C2O1,26
C4H4O_1,25
H2O_1S1,25
C3H6,24
H4O2,24
H5N1,23
C3H8,22
C4H6O_1,22
H_1N1O1,21
C_1H1N_1S1,21
C4H8O_1,21
C1H2O2,21
C12H8S2,21
O2H6,20
CHN_1O2,20
C1H_1N1,20
C1H_2O2,18
H1N1O1,18
C2H6O1,17
C2H3NO_1,17
C12H8N4O1,17
CH_4O2,17
H16,17
C4H2,16
CH3N,16
O3,16
C3O,16
C3H2O1,15
C2H4O1,15
C3H_1N1O_2,15
C2H_2O2,14
H_2O3,14
S1,14
C2H8O,14
H2S,13
C2H3N,13
O_1S1,13
C13H14O2N4,13
C5H7N_1,13
CH6O2,13
H_2S1,12
C4H8O1,12
C1H5N1,12
C_1O3,12
C2H5O_1N1,12
H2O3,11
C1H4O2,11
C4H2O,11
C4,10
C4H4,10
C13H16N4O2,10
C4O,10
C2H7N1O_1,10
C4H4O1,10
C3H4O1,10
C5H8O_1,10
C4H8,9
C3H6O1,9
C4H6O1,9
C3H1N1O_1,9
C2H2O2,9
C2H3N_1O2,9
C3H3N,9
C4H12O_1,9
C4H10O,9
C2H4O2,8
H_2N_2O2,8
C3H6O2,8
C3O2,8
O4,8
C2H2O2S_1,8
C4H2O2,8
CH3NO,8
C1H4O_1S1,8
C4H6,8
C1H2O3,7
C3H5N1O_1,7
glyoxylate (-H2O),7
C2H4O3S2,7
O1S1,7
C3H8O1,7
C1H4O3,7
C5H6,7
C3H2O2,7
C3H4O2,7
C2H2O3,7
C1H4S1,7
C5H4,7
C2H5N1,6
C3H7N1O_1,6
CH_4O3,6
C5H8O1,6
H2N2O_1,6
acetotacetate_(_H2O)_C4H4O2,6
CH_2O3,6
C3H3N1O_1,6
C5H2O,6
CO3,6
C5H8,6
H1O2N1,6
C4O2,6
H4O3,5
C2H6O2,5
C1H4O1S1,5
C4H9N1O_2,5
C2H4O2S2,5
C2H5N,5
H_1N1O2,5
C1H1O1N1,5
C4H5N1O_1,5
C8H10O_2,5
H_2S1C1,5
C6H14,5
C2H6S1,5
C2O3,5
C9H11O2N3,4
C3H8O3,4
C6H4O1,4
C1H3N1O2,4
C5H8O1S1,4
C3H7N1,4
Glycine,4
CH2O4,4
C2H4O3,4
C4H6O2,4
C5H10O1,4
C2H6O3,4
C3O3,4
C7H8O1N4,3
C6H8O,3
C6H10O1,3
C7H4O4S1,3
C7H4,3
C2H4O4,3
C7H5N1O_3,3
C2H6O3S2,3
adenosine (-H2O),3
O2S1,3
C4H3N1,3
C2H1N1O2,3
C5H4O1N4,3
C6H14O_1,3
C5H8O3,3
C6H8O2,3
C5H6O1,3
C3H4O3,3
O_2S2,3
C5H5N_1O1,3
C4H8O2,2
C7H13N1O4,2
C7H9O3N3,2
C5H6O2,2
C6H3N1O3S1,2
C2H6O4,2
C4H2O3,2
C4H4O3,2
C5H10O2,2
C3H4O4,2
Arginine,2
C7H8O1,2
C5H2O2,2
Serine,2
S2O32-,2
C6H4O3,2
C6H10O2,2
H6N2O_1,2
C5H6O3,2
malonyl_group_(_H2O)_C3H2O3,2
O3S1,2
C5H4O1,2
C6H8,2
C2H5N1O2,2
C2H3N1O2,2
C6H4,2
C2H7O1N1,2
C2H5N1O1,2
H2O2S1,2
guanosine (-H2O),2
C6H6O1N4,2
C21H24N2O2,1
C6H12O4,1
C9H11N1O1,1
C9H10O2,1
C7H9N3O1,1
C7H4O4,1
erythose (-H2O),1
C7H4O1,1
C7H8O4,1
C7H10O4,1
C6H11N1O4,1
C6H11O5,1
C9H11N1O2,1
C9H13N1O2,1
H2O4,1
C6H5O_1N5,1
pentose_C5H8O4,1
C9H8O1,1
C5H2O1N4,1
C7H5N1O2,1
C4H8O5,1
C7H8O3,1
C4H5N1,1
C3H3N1O1,1
C4H7N1,1
C1H5O2,1
C3H2N2O_1,1
C2H_1O_1N1S1,1
C_2H_2O1S2,1
C3H3O1,1
C1H2N2O1,1
H_1O1,1
primary amine,1
O_1H4N2,1
C1H2N2,1
C3H7,1
C2H7N1,1
Alanine,1
C5H13O_1N1,1
C6H3N1O2,1
C2H2O4S1,1
C8H10O1,1
C2H3N_1O3S2,1
C8H14O1,1
C5H4O4,1
C5H6O4,1
C4H3F1N2O1,1
C4H6O4,1
C5H2N4,1
C7H5N1O1,1
C5H5N1,1
C6H11O_1N1,1
C1O_1N2,1
C1H2O_1N2,1
N2,1
C1H_1,1
C7H1N_1O1,1
C8H14N2O3,1
C7H3N3O4,1
C9H7N1O4,1
C8H13N3O3,1
C11H9N1O3,1
C3H1N3O2,1
C5H4O3,1
C6H3N1,1
C2H2O4,1
C3H6O3,1
C5H3N1O1,1
C4H3N3,1
C6H6O6,1
C9H9N1O3,1
C8H13N3O2,1
C10H24N4O_1,1
C6H7N1,1
C5H5N1O1,1
C5H4O2,1
Valine,1
C5H8O2,1
C6H4O2,1
C7H10O1,1
C10H9N1,1
C9H11O1N5,1
C7H12O1S1,1
C_1H1N1O_2S1,1
C9H14N2O5,1
C6H8N4O1,1
C8H13O2N1,1
C13H6N2O4,1
H3N1O_3S1,1
H2N1O_1,1
C19H22O1N2,1
C20H24O1N2,1
C6H11O10N1S2,1
C7H10O3,1
