Trans name,Altamaha_SW48_000107-2_p08
hydrogenation/dehydrogenation,199
CH4_O,194
C_1H_2O1,193
CH6O_1,163
H4,162
C_1O1,154
C_1H2O,149
C1,135
methanol (-H2O),130
H_2C1,126
C2O_1,126
H6,117
hydroxylation (-H),114
H_4O1,109
C_1H4O,108
CH_4,107
C_2H_2O2,107
C2H2O_1,106
C2H_2O_1,100
H_2O1,99
C_2O2,98
C1H4,93
C2H4O_1,91
H8,89
C2H6O_1,89
C3H2O_2,88
H_6O1,88
condensation/dehydration,83
C_2H2O2,82
CH6,77
C3H4O_2,77
C_1H_2O2,75
C_3H_2O3,70
C_1H_4O2,68
H10,66
H4O,66
C2H8O_1,66
C_1H_6O2,64
C_1O2,64
H3O_1N1,60
H_1O1N_1,58
C2H_2,52
CH_1N_1O,51
C2,49
H_2C1O1,47
Formic Acid (-H2O),47
C_1H2O2,45
C2H2,45
C1H2O1,43
C3H2O_1,41
secondary amine,40
H1O1N_1,40
NH_CH2,40
C3H4O_1,39
CH_4O,39
H3N_1O1,39
C_1H_1N1,39
C_1H4O2,39
C3H6O_1,37
C1H1N1O_1,37
C1H4O1,37
H_4O2,36
C8H12O1S2,36
ethyl addition (-H2O),35
H3N1,35
H2O2,33
CHN_1O,33
H5O1N_1,33
H5O_1N1,32
C2H3N1O_2,32
C1H3N1O_1,32
C_1H_5N_1O2,31
H1O2N_1,31
C1H_1N1O_1,29
N1H_3,29
H_1O2N_1,28
C2O1,28
H_2O2,27
H_1N1,27
C2H8,27
C1H6O1,27
C3O_1,26
C2HN_1O,25
O2,24
C3H4,24
acetylation (-H2O),23
C3,22
CH_4O2,22
C13H14O2N4,21
C3H6,21
O2H6,21
C3H2,20
H5N1,20
C12H8N4O1,20
CH5NO_1,19
C2H8O,19
C13H16N4O2,18
C4H6O_1,18
C2H_2O,17
C1H_2O2,17
H2O_1S1,17
C_1O3,17
C2H4O1,17
H_1N1O1,17
CH3N,16
C3H8,16
H4O2,16
O_1S1,15
CHN_1O2,15
C4H4O_1,14
C4H6,14
C1H2O2,14
C1H1N1,14
C2H3NO_1,13
Carboxylation_CO2,13
C3H4O1,13
H_2O3,12
C4H2O_1,12
C2H4O2S2,12
C3H2O1,11
H2S,11
C3H_1N1O_2,11
H16,10
C3O,10
C4,10
C4H8O_1,10
C3H6O1,10
C_1H1N_1S1,10
C2H6O1,10
C7H12O1S1,10
CH6O2,9
C4H4,9
C3H3N1O_1,9
C2H5O_1N1,9
C2H7N1O_1,9
C3H1N1O_1,8
C6H6O1N4,8
H_2S1,8
O3,8
H4O3,8
H1N1O1,8
C2H2O2,8
C4H12O_1,8
C3H7N1O_1,8
C2H6O3S2,7
Arginine,7
C5H8O_1,7
C4H2,7
C1H4O_1S1,7
C1H_1N1,7
C2H3N_1O2,7
CO3,7
C5H4O1N4,7
C2H4O2,7
C6H10O3S1,7
guanosine (-H2O),7
C7H8O1N4,6
adenosine (-H2O),6
C2H3N,6
C4H10O,6
C2H_2O2,6
C1H4O2,6
C4O,6
C1H5N1,6
C5H4O1,6
H_1N1O2,6
CH3NO,6
C4H9N1O_2,5
S2O32-,5
C7H3N3O4,5
glyoxylate (-H2O),5
CH_4O3,5
C2H4O3S2,5
C1H4O3,5
C3H5N1O_1,5
C4H8,5
C4H8O1,5
H1O2N1,5
O4,5
C2H6O2,5
C5H7N_1,5
H_2N_2O2,4
H_2S1C1,4
C12H10N2O2,4
C2H7N1,4
C2H5N,4
C3H4O2,4
H2O3,4
C2H2O3,4
S1,4
C5H2O,4
C1H2O3,4
C4H6O1,4
C4H4O1,4
C5H6,4
C3O2,4
C5H8,4
C7H9O2N5,4
C5H4,4
C9H11O1N5,4
C10H13N5,4
C5H2O1N4,3
C13H6N2O4,3
H2O4,3
C1H4O1S1,3
C7H9O3N3,3
C4H2O,3
C6H4O1,3
C3H2O2,3
C3H8O1,3
C2H3N1O2,3
C3H3N,3
C1H4S1,3
C6H4,3
C4O2,3
CH_2O3,3
C5H6O2,3
C6H3N1O3S1,3
C1H1O1N1,3
C6H8N4O1,3
C12H8S2,3
C5H2O2,3
C4H6O1S1,3
C2H2O2S_1,3
C6H14O1N4,2
C2H3N_1O3S2,2
C4H7N1O2S1,2
C9H11O2N3,2
C5H10O4,2
C5H3N5,2
Histidine,2
C2O3,2
C2H1N1O2,2
C3H4O3,2
C6H14,2
malonyl_group_(_H2O)_C3H2O3,2
C5H10O1,2
C3O3,2
C5H6O1,2
C1H3N1O2,2
C3H6O3,2
C4H8O2,2
C2H6S1,2
C2H7O1N1,2
C10H10,2
C1H1O2F1,2
O1S1,2
C3H7N1,2
N2,2
C3H3N1O1,2
C5H5N_1O1,2
C2H4O3,2
C4H2O2,2
O_2S2,2
C3H6O2,2
C4H4O3,2
C5H8O2,2
C4H7N1O1S1,2
C7H10O1,2
C2H6O4,2
C2H5N1,2
C4H2O3,2
SO42-,2
C18H24O11,1
Methionine,1
C6H5O_1N5,1
pentose_C5H8O4,1
C9H8O1,1
C9H12O1,1
C7H8O3,1
C11H10,1
C10H10O1,1
C10H10O2N2,1
C9H9N1O4,1
C9H13O2N3,1
C9H15N1O4,1
C10H11N5,1
C12H11O4,1
C10H14N2O6,1
C4H3N3,1
C4O3,1
C6H8O,1
C4H3O2N1,1
erythose (-H2O),1
C5H2O_1N4,1
Cysteine,1
C7H4O1,1
C6H4N2,1
C2H5O2N1S1,1
C8H12,1
C6H6O2,1
C3H1N3O2,1
