Name,Mass
H2N1O_1,0.023809
CH4_O,0.03638
C_1H_5N_1O2,0.947631
H_1O1N_1,0.984016
C_1H_1N1,0.995249
NH_CH2,0.99525
C12_C13,1.003355
H1,1.007825
H3N1O_3S1,1.013876
H3O_1N1,1.031634
H_2N_2O2,1.968032
C_1H_2O1,1.979265
N_1O1,1.991841
hydrogenation/dehydrogenation,2.01565
transamination (-O),2.039459
CH6O_1,2.052035
H_3N_3O3,2.952048
C_1H1N1O_2S1,2.993141
H1O1N_1,2.999666
H3,3.023475
H5O_1N1,3.047284
C_1O1,3.994915
H4,4.0313
H3N_1O1,5.015316
C_2H_2O2,5.97418
H_4N3O_2,5.988092
C2H_2O_1,5.989435
C_1H2O,6.010565
C3H2O_2,6.02582
H6,6.04695
C_1H1N_1S1,6.976823
H5O1N_1,7.030966
CH_4,7.9687
C_2O2,7.98983
C2O_1,8.005085
C_1H4O,8.026215
C3H4O_2,8.04147
H8,8.0626
C1H_1N1O_1,9.000334
C2H3N1O_2,9.036719
H_6O1,9.947965
C_3H_2O3,9.969095
H_2C1,9.98435
C_2H2O2,10.00548
C2H2O_1,10.020735
H10,10.07825
N1H_3,10.979599
C1H_1,10.992175
C1H1N1O_1,11.015984
H_4O1,11.963615
C1,12
C2H4O_1,12.036385
H_3O1,12.97144
CH_1N_1O,12.984016
H_1N1,12.995249
CH,13.007825
C1H3N1O_1,13.031634
C_1H_6O2,13.94288
H_2O1,13.979265
tertiary amine,14.003074
methanol (-H2O),14.01565
H2N2O_1,14.026883
C2H6O_1,14.052035
H_1S1O_1,14.969332
H_1O1,14.98709
CHN_1O,14.999666
secondary amine,15.010899
C1H3,15.023475
CH5NO_1,15.047284
C_1H_4O2,15.95853
O_1S1,15.977157
hydroxylation (-H),15.994915
primary amine,16.018724
C1H4,16.0313
O_1H4N2,16.042533
C2H8O_1,16.067685
H16,16.1252
H_1O2N_1,16.978931
O1H1,17.00274
C3H_1N1O_2,17.005419
H3N1,17.026549
C1H5,17.039125
C_1H_2O2,17.97418
H2O_1S1,17.992807
condensation/dehydration,18.010565
NH4+,18.034374
CH6,18.04695
H6N2O_1,18.058183
H1O2N_1,18.994581
H3O1,19.01839
H5N1,19.042199
C_1O2,19.98983
C3O_1,20.005085
H4O,20.026215
C2H_2,21.98435
C_1H2O2,22.00548
C3H2O_1,22.020735
CH_4O,23.963615
C2,24
C1O_1N2,24.011233
C_1H4O2,24.02113
C3H4O_1,24.036385
C1H_1N1,24.995249
C2H3NO_1,25.031634
H_2C1O1,25.979265
C2H2,26.01565
C1H2O_1N2,26.026883
C2H2O2S_1,26.033408
C3H6O_1,26.052035
C2HN_1O,26.999666
C1H1N1,27.0109
H3C2,27.023475
C2H5O_1N1,27.047284
H_4O2,27.95853
Formic Acid (-H2O),27.994915
N2,28.006148
ethyl addition (-H2O),28.0313
H_1N1O1,28.990164
CHO,29.00274
CH3N,29.026549
C2H7N1O_1,29.062934
H_2S1,29.956422
H_2O2,29.97418
O1N1,29.997989
C1H2O1,30.010565
H_1S1,30.964247
CHN_1O2,30.994581
H1N1O1,31.005814
C1H5N1,31.0422
O_2S2,31.954314
S1,31.972072
O2,31.98983
C1H4O_1S1,32.008457
C1H4O1,32.026215
C2H8,32.0626
H3O_1N1S1,33.003706
H2S,33.987722
H2O2,34.00548
C4H2O_1,34.020735
C1H6O1,34.041865
H3O2,35.013305
C3H1N1O_1,35.015984
C_1O3,35.984745
C3,36
H4O2,36.02113
C4H4O_1,36.036385
C3H3N1O_1,37.031618
C2H_2O,37.979265
C3H2,38.01565
O2H6,38.03678
C4H6O_1,38.052035
C3H5N1O_1,39.047284
C4H9N1O_2,39.083669
CH_4O2,39.95853
C2O1,39.994915
C3H4,40.0313
C4H8O_1,40.067685
C2HO,41.00274
C2H3N,41.026549
C3H7N1O_1,41.062934
H_2S1C1,41.956422
C1H_2O2,41.97418
acetylation (-H2O),42.010565
C1H2N2,42.0218
C3H6,42.04695
C1H_1O2,42.982005
C1H1O1N1,43.005814
C2H3O,43.01839
C2H5N,43.042199
C2H5N1,43.0422
